Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_longest_win_streak,B_losses,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_longest_win_streak,R_losses,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,B_Stance_Open Stance,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,R_Stance_Open Stance,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch
Red,FALSE,3,3,0,1,3,0,0,1,0,0,0,0,1,185.42,187.96,145,1,0,2,1,0,0,0,1,0,1,0,2,170.18,177.8,145,29,29,0,0,1,0,0,0,1,0
Blue,TRUE,5,0,3,3,4,1,0,1,5,2,2,0,10,154.94,157.48,115,0,3,3,2,3,0,0,2,1,3,0,6,165.1,165.1,115,27,26,0,1,0,0,0,1,0,0
Red,FALSE,3,1,0,16,6,13,0,0,3,11,3,0,17,187.96,195.58,185,0,1,2,4,0,0,0,1,3,0,0,4,180.34,195.58,185,44,35,0,0,1,0,0,0,0,1
Blue,FALSE,3,0,6,6,0,0,0,0,3,3,0,0,6,167.64,180.34,145,0,2,7,3,11,0,0,6,4,0,0,10,170.18,177.8,145,30,32,0,1,0,0,0,1,0,0
Blue,FALSE,3,0,1,1,0,0,0,0,1,0,0,0,1,185.42,180.34,170,0,1,7,10,1,0,1,5,7,1,1,15,175.26,177.8,170,26,35,0,1,0,0,0,1,0,0
Red,FALSE,3,2,0,3,4,1,0,2,1,1,0,0,4,165.1,162.56,135,0,2,2,2,0,0,1,1,0,0,0,2,175.26,172.72,135,35,31,0,1,0,0,0,1,0,0
Blue,FALSE,3,0,1,1,0,0,0,0,1,0,0,0,1,195.58,200.66,205,0,1,2,5,0,0,1,1,4,0,0,6,187.96,190.5,205,27,42,0,1,0,0,0,0,1,0
Red,FALSE,3,3,0,0,3,0,0,0,0,0,0,0,0,180.34,177.8,155,1,0,0,1,0,0,0,0,0,0,0,0,175.26,177.8,155,32,24,0,1,0,0,0,1,0,0
Red,FALSE,3,1,0,4,4,1,0,2,2,1,3,0,8,182.88,182.88,170,1,0,4,3,1,0,0,2,0,3,1,6,180.34,182.88,170,36,28,0,1,0,0,0,1,0,0
Blue,FALSE,3,1,0,4,12,0,0,3,5,2,4,0,14,170.18,177.8,155,7,0,3,14,11,0,0,1,6,4,1,12,175.26,177.8,155,37,40,0,1,0,0,0,1,0,0
Blue,FALSE,5,0,2,8,8,1,0,0,6,10,6,0,22,185.42,185.42,155,0,1,5,3,2,0,1,4,4,0,0,9,177.8,177.8,155,36,32,0,1,0,0,0,1,0,0
Red,FALSE,3,0,3,3,2,1,0,1,5,2,0,0,8,185.42,190.5,185,2,0,5,5,0,0,0,2,6,1,0,9,185.42,195.58,185,30,35,0,1,0,0,0,0,1,0
Blue,FALSE,3,0,1,3,1,0,0,0,2,1,1,0,4,180.34,190.5,145,3,0,6,6,0,0,0,6,4,0,0,10,172.72,177.8,145,28,35,0,1,0,0,0,1,0,0
Blue,FALSE,3,0,1,1,2,0,0,0,1,0,0,0,1,167.64,172.72,135,0,2,2,0,1,0,0,2,0,0,0,2,167.64,162.56,135,28,27,0,1,0,0,0,1,0,0
Red,FALSE,3,2,0,1,3,0,0,0,1,0,1,0,2,170.18,170.18,135,0,2,2,0,1,0,0,0,1,1,0,2,180.34,182.88,135,31,27,0,1,0,0,0,1,0,0
Blue,FALSE,3,1,0,0,1,0,0,0,0,0,0,0,0,170.18,177.8,135,1,0,1,1,0,0,0,1,0,0,0,1,172.72,172.72,135,28,31,0,1,0,0,0,1,0,0
Blue,FALSE,3,1,0,0,1,0,0,0,0,0,0,0,0,170.18,172.72,145,1,0,0,1,0,0,0,0,0,0,0,0,180.34,180.34,155,25,28,0,1,0,0,0,0,0,1
Red,FALSE,3,0,1,1,0,0,0,0,0,1,0,0,1,195.58,203.2,265,0,1,1,1,0,0,0,2,0,0,0,2,185.42,190.5,245,27,32,0,1,0,0,0,1,0,0
Blue,FALSE,5,0,3,3,2,0,0,0,1,3,2,0,6,185.42,195.58,185,0,1,5,3,0,0,0,1,4,4,0,9,185.42,182.88,185,30,39,0,1,0,0,0,1,0,0
Red,FALSE,3,2,0,0,2,0,0,0,0,0,0,0,0,187.96,187.96,253,1,0,0,1,0,0,0,0,0,0,0,0,195.58,203.2,265,36,30,0,0,0,1,0,1,0,0
Blue,FALSE,3,1,0,2,4,0,0,1,0,4,0,0,5,177.8,180.34,170,1,0,3,5,0,0,0,2,4,3,0,9,180.34,193.04,170,27,31,0,1,0,0,0,1,0,0
Red,FALSE,3,0,2,2,2,0,0,0,1,2,0,0,3,185.42,190.5,205,0,1,5,5,1,0,0,2,4,4,1,11,187.96,193.04,205,25,39,0,0,1,0,0,1,0,0
Blue,FALSE,3,0,3,3,0,0,0,0,0,2,1,0,3,180.34,177.8,135,0,2,6,3,0,0,1,4,6,1,0,12,160.02,170.18,135,27,28,0,0,0,1,0,1,0,0
Blue,FALSE,3,0,1,1,0,0,0,0,0,1,0,0,1,190.5,195.58,265,3,0,7,12,5,0,1,4,9,2,0,16,190.5,195.58,240,27,40,0,1,0,0,0,1,0,0
Red,FALSE,3,1,0,1,2,0,0,0,0,0,1,0,1,187.96,187.96,155,1,0,7,13,0,0,2,6,3,7,0,18,172.72,180.34,155,29,35,0,0,1,0,0,0,1,0
Red,FALSE,3,2,0,0,2,0,0,0,0,0,0,0,0,154.94,162.56,115,2,0,1,6,0,0,0,3,0,0,0,3,160.02,162.56,115,32,34,0,1,0,0,0,1,0,0
Blue,FALSE,3,0,1,1,5,2,0,0,1,1,0,0,2,187.96,187.96,170,0,1,3,6,1,0,1,5,0,2,0,8,180.34,190.5,170,30,34,0,1,0,0,0,1,0,0
Red,FALSE,5,0,2,2,2,0,0,0,0,1,5,0,6,187.96,203.2,240,0,1,4,6,1,1,0,2,6,0,0,9,193.04,203.2,265,41,38,0,1,0,0,0,1,0,0
Red,FALSE,3,2,0,1,2,0,0,0,0,0,1,0,1,190.5,190.5,249,1,0,0,1,0,0,0,0,0,0,0,0,190.5,213.36,257,26,26,0,1,0,0,0,0,1,0
Red,FALSE,3,0,1,1,0,0,0,0,1,0,0,0,1,172.72,170.18,125,1,0,1,3,1,0,0,0,1,0,0,1,170.18,175.26,125,34,36,0,0,1,0,0,1,0,0
Red,FALSE,3,0,1,1,6,0,0,2,0,0,2,0,4,180.34,185.42,170,1,0,1,2,0,0,1,0,0,0,0,1,180.34,187.96,170,34,34,0,0,1,0,0,1,0,0
Blue,FALSE,3,0,2,2,2,0,0,1,2,1,0,0,4,190.5,193.04,235,0,1,3,3,0,0,0,2,2,0,0,4,190.5,198.12,249,37,33,0,1,0,0,0,1,0,0
Blue,FALSE,3,0,1,1,1,0,0,0,0,1,0,0,1,182.88,187.96,205,1,0,2,1,0,0,0,0,0,2,0,2,180.34,177.8,205,24,32,0,0,1,0,0,1,0,0
Blue,TRUE,5,0,3,4,5,0,1,0,4,8,3,0,16,175.26,182.88,155,0,13,13,3,4,0,1,4,8,2,1,16,180.34,175.26,155,30,27,0,0,1,0,0,1,0,0
Blue,TRUE,5,0,5,5,0,0,0,1,2,2,0,0,5,193.04,203.2,185,0,2,5,4,1,0,3,2,3,2,0,10,175.26,180.34,185,29,27,0,0,0,1,0,0,1,0
Blue,FALSE,3,1,0,2,4,1,0,0,0,3,0,0,3,185.42,193.04,205,2,0,2,3,0,0,0,1,2,0,0,3,185.42,190.5,185,29,31,0,0,1,0,0,0,1,0
Blue,FALSE,3,0,1,1,1,0,0,0,0,1,0,0,1,185.42,193.04,170,0,1,3,4,0,0,0,3,4,0,0,7,182.88,185.42,170,34,37,0,0,0,1,0,0,1,0
Blue,FALSE,3,2,0,5,4,0,0,0,0,3,3,0,6,190.5,195.58,205,1,0,4,7,1,1,0,1,5,4,0,11,190.5,203.2,205,27,36,0,1,0,0,0,0,1,0
Blue,FALSE,3,2,0,0,2,0,0,0,0,0,0,0,0,175.26,180.34,155,0,1,1,1,0,0,0,0,1,0,0,1,190.5,195.58,155,28,23,0,1,0,0,0,0,1,0
Blue,FALSE,3,0,2,2,1,0,0,1,1,0,2,0,4,165.1,170.18,125,0,1,3,5,1,0,0,5,0,2,0,7,162.56,165.1,125,28,34,0,1,0,0,0,0,1,0
Blue,FALSE,3,1,0,4,3,0,0,1,3,1,0,0,5,180.34,182.88,170,1,0,3,1,0,0,0,2,1,0,0,3,187.96,193.04,170,30,31,0,1,0,0,0,1,0,0
Red,FALSE,3,0,1,1,3,0,0,0,1,1,0,0,2,175.26,177.8,135,0,1,1,1,0,0,0,0,0,1,0,1,177.8,190.5,135,30,26,0,1,0,0,0,0,1,0
Blue,FALSE,3,1,0,2,1,0,0,0,1,1,0,0,2,172.72,170.18,115,1,0,1,1,0,0,0,1,0,0,0,1,165.1,170.18,125,30,27,0,1,0,0,0,1,0,0
Blue,FALSE,5,0,1,1,2,0,0,0,0,2,0,0,2,180.34,177.8,155,0,1,4,6,0,1,1,5,7,0,0,14,180.34,190.5,155,30,33,0,1,0,0,0,1,0,0
Blue,FALSE,3,0,2,2,2,0,0,0,1,3,1,0,5,185.42,195.58,185,1,0,2,4,0,0,1,2,1,0,0,4,185.42,198.12,185,30,37,0,1,0,0,0,1,0,0
Red,FALSE,3,0,2,4,9,1,0,1,6,4,0,0,11,177.8,185.42,145,1,0,2,2,0,0,1,2,1,0,0,4,167.64,177.8,145,32,34,0,0,1,0,0,1,0,0
Blue,FALSE,3,0,2,2,2,0,0,1,1,0,2,0,4,160.02,157.48,115,1,0,3,3,1,0,2,3,0,0,0,5,160.02,162.56,115,33,33,0,1,0,0,0,1,0,0
Red,FALSE,3,0,2,2,1,0,0,1,1,0,0,0,2,172.72,182.88,145,0,1,1,0,0,0,0,0,1,0,0,1,175.26,180.34,145,28,25,0,1,0,0,0,1,0,0
Red,FALSE,3,1,0,1,3,0,0,0,1,0,0,0,1,160.02,160.02,115,1,0,0,1,0,0,0,0,0,0,0,0,167.64,165.1,115,36,31,0,1,0,0,0,1,0,0
Blue,FALSE,3,1,0,1,3,0,0,1,1,0,0,0,2,177.8,185.42,155,1,0,3,13,1,0,2,5,4,0,1,12,172.72,175.26,155,29,34,0,0,1,0,0,1,0,0
Blue,FALSE,3,0,1,1,0,0,0,0,1,0,0,0,1,170.18,185.42,145,0,4,4,1,1,0,0,5,0,0,0,5,170.18,177.8,145,30,29,0,1,0,0,0,1,0,0
Red,FALSE,3,1,0,2,2,0,0,0,0,1,3,0,4,185.42,195.58,185,0,1,1,1,0,0,0,0,0,1,0,1,190.5,205.74,185,31,26,0,0,1,0,0,1,0,0
Red,FALSE,3,0,2,2,1,0,0,1,0,0,1,0,2,167.64,165.1,135,1,0,3,1,0,0,0,1,1,1,0,3,167.64,165.1,135,24,27,0,1,0,0,0,1,0,0
Blue,FALSE,5,1,0,5,7,4,0,1,1,2,4,0,8,177.8,182.88,170,1,0,7,4,2,0,0,4,5,0,0,9,182.88,190.5,170,32,36,0,1,0,0,0,1,0,0
Red,FALSE,3,0,4,4,0,0,0,0,3,1,0,0,4,185.42,198.12,264,1,0,4,3,0,0,0,2,2,0,1,5,193.04,203.2,265,31,28,0,0,1,0,0,1,0,0
