Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_longest_win_streak,B_losses,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_longest_win_streak,R_losses,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,B_Stance_Open Stance,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,R_Stance_Open Stance,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch
Red,FALSE,3,1,0,1,4,0,0,0,1,0,0,0,1,170.18,170.18,155,4,0,3,12,1,0,2,4,4,0,1,11,172.72,175.26,155,36,33,0,1,0,0,0,1,0,0
Blue,FALSE,3,0,3,3,1,1,0,0,2,0,1,0,3,172.72,175.26,135,0,1,2,3,0,0,0,1,2,0,0,3,170.18,175.26,135,27,26,0,1,0,0,0,0,1,0
Red,FALSE,3,0,1,1,0,0,0,0,1,0,0,0,1,180.34,180.34,170,1,0,1,1,0,0,0,1,0,0,0,1,180.34,182.88,170,26,29,0,1,0,0,0,1,0,0
Red,FALSE,5,0,2,2,0,0,0,0,1,1,0,0,2,185.42,190.5,185,3,0,8,8,5,0,1,6,6,1,0,14,185.42,187.96,185,30,39,0,0,1,0,0,0,1,0
Red,FALSE,3,1,0,1,1,0,0,1,0,0,0,0,1,177.8,185.42,155,0,5,5,2,0,0,2,3,0,2,0,7,167.64,170.18,170,28,36,0,0,1,0,0,1,0,0
Red,FALSE,3,0,1,1,0,0,0,0,0,0,1,0,1,190.5,190.5,249,1,0,1,3,0,0,1,1,1,0,0,3,190.5,195.58,265,25,32,0,1,0,0,0,0,1,0
Red,FALSE,3,1,0,3,3,0,0,0,1,1,2,0,4,172.72,177.8,135,1,0,2,2,0,0,0,1,1,0,0,2,170.18,172.72,135,25,32,0,0,0,1,0,1,0,0
Red,FALSE,3,0,3,3,2,0,0,0,1,3,0,0,4,193.04,193.04,205,0,3,4,4,0,0,0,1,7,0,0,8,187.96,193.04,205,29,34,0,1,0,0,0,1,0,0
Red,FALSE,3,1,0,4,7,0,0,1,3,4,1,0,9,187.96,190.5,170,1,0,4,3,1,0,1,2,1,2,0,6,182.88,182.88,170,33,35,0,1,0,0,0,1,0,0
Red,FALSE,3,0,1,1,1,0,0,0,0,1,0,0,1,175.26,177.8,155,0,2,2,1,0,0,0,3,1,0,0,4,180.34,187.96,155,31,34,0,1,0,0,0,0,1,0
Red,FALSE,3,1,0,3,4,1,0,0,1,0,2,0,3,167.64,165.1,135,2,0,3,7,0,0,1,4,2,2,0,9,175.26,180.34,135,30,37,0,1,0,0,0,0,1,0
Red,FALSE,3,0,1,1,0,0,0,0,0,0,1,0,1,167.64,175.26,125,0,1,1,0,0,0,1,0,0,0,0,1,165.1,172.72,125,23,30,0,0,0,1,0,1,0,0
Red,FALSE,5,0,2,5,3,0,0,0,2,6,1,0,9,185.42,195.58,185,1,0,5,2,0,0,0,1,2,4,0,7,185.42,182.88,185,34,38,0,0,1,0,0,1,0,0
Blue,FALSE,3,0,1,1,4,0,0,0,3,2,0,0,5,180.34,187.96,145,2,0,7,5,1,0,2,4,1,2,0,9,167.64,167.64,155,27,31,0,1,0,0,0,1,0,0
Blue,FALSE,3,0,3,3,0,0,0,0,1,1,1,0,3,170.18,180.34,155,0,1,1,1,0,0,0,0,0,1,0,1,177.8,182.88,145,31,30,0,1,0,0,0,1,0,0
Red,FALSE,3,0,1,1,0,0,0,1,0,0,0,0,1,177.8,185.42,170,0,1,2,5,0,0,0,1,2,1,0,4,172.72,177.8,155,28,29,0,1,0,0,0,0,1,0
Blue,FALSE,3,4,0,4,4,0,0,1,1,1,1,0,4,177.8,180.34,155,1,0,2,4,0,0,0,1,2,1,0,4,177.8,180.34,155,31,29,0,1,0,0,0,0,1,0
Red,FALSE,3,1,0,3,5,1,0,1,0,1,3,0,5,170.18,185.42,145,1,0,4,1,0,1,0,1,1,1,0,4,172.72,177.8,145,30,26,0,1,0,0,0,1,0,0
Red,FALSE,3,0,1,1,0,0,0,0,0,0,1,0,1,167.64,175.26,125,0,1,1,1,0,0,1,1,0,0,0,2,175.26,172.72,125,31,29,0,1,0,0,0,1,0,0
Red,FALSE,3,1,0,2,3,0,0,0,3,0,0,0,3,165.1,165.1,115,1,0,1,4,0,0,1,2,0,0,0,3,162.56,160.02,115,35,32,0,1,0,0,0,1,0,0
Blue,FALSE,3,1,0,0,1,0,0,0,0,0,0,0,0,170.18,182.88,125,1,0,2,1,0,0,0,2,0,0,0,2,165.1,162.56,125,28,29,0,1,0,0,0,1,0,0
Red,FALSE,3,0,3,3,0,0,0,2,0,1,0,0,3,172.72,175.26,155,0,3,3,1,0,0,0,2,1,0,0,3,177.8,182.88,155,28,35,0,1,0,0,0,1,0,0
Red,FALSE,3,1,0,2,2,0,0,0,2,1,0,0,3,182.88,185.42,170,1,0,1,2,0,0,0,0,1,1,0,2,182.88,193.04,170,36,28,0,1,0,0,0,1,0,0
Red,TRUE,5,0,6,6,0,0,0,0,0,4,1,1,6,193.04,210.82,250,0,5,5,2,3,0,0,3,8,0,0,11,193.04,203.2,240,31,35,0,1,0,0,0,1,0,0
Red,TRUE,5,0,3,3,0,0,0,1,0,2,0,0,3,187.96,190.5,205,1,0,4,2,5,0,1,3,1,3,0,8,180.34,182.88,235,28,38,0,1,0,0,0,1,0,0
Red,FALSE,3,0,3,3,0,0,0,0,2,1,0,0,3,180.34,190.5,145,0,1,1,0,0,0,0,1,0,0,0,1,180.34,182.88,145,26,29,0,1,0,0,0,1,0,0
Red,FALSE,3,1,0,2,4,0,0,0,4,0,0,0,4,185.42,190.5,205,2,0,2,6,0,0,1,0,4,0,0,5,190.5,193.04,205,37,32,0,1,0,0,0,1,0,0
Blue,FALSE,3,1,0,2,2,0,0,0,0,3,1,0,4,172.72,180.34,135,1,0,4,2,0,0,0,1,4,0,0,5,170.18,177.8,135,30,26,0,1,0,0,0,0,1,0
Blue,FALSE,3,0,1,1,1,0,0,0,0,2,0,0,2,177.8,185.42,170,2,0,0,2,0,0,0,0,0,0,0,0,182.88,182.88,170,32,29,0,1,0,0,0,1,0,0
Red,FALSE,3,0,2,2,0,0,0,1,0,0,1,0,2,165.1,170.18,125,0,1,2,5,0,0,3,0,3,0,0,6,165.1,165.1,125,27,29,0,1,0,0,0,1,0,0
Red,FALSE,3,2,0,3,10,0,0,5,6,1,4,0,16,177.8,180.34,155,0,2,2,1,0,0,0,2,0,1,0,3,177.8,177.8,155,34,26,0,0,1,0,0,1,0,0
Red,FALSE,5,1,0,3,1,0,0,0,0,3,0,0,3,177.8,177.8,145,0,1,3,13,0,0,1,6,5,0,1,13,172.72,180.34,145,26,31,0,1,0,0,0,1,0,0
Blue,FALSE,3,0,1,1,0,0,0,1,0,0,0,0,1,165.1,162.56,125,1,0,3,2,0,0,0,1,2,1,0,4,162.56,165.1,115,30,23,0,1,0,0,0,1,0,0
Red,FALSE,3,0,1,1,0,0,0,0,1,0,0,0,1,180.34,187.96,170,0,6,6,0,1,0,0,4,1,1,0,6,182.88,193.04,170,29,30,0,0,0,1,0,0,0,1
Red,FALSE,3,2,0,4,8,1,0,0,5,4,0,0,9,177.8,185.42,145,0,5,5,4,0,0,2,8,3,0,0,13,177.8,180.34,145,31,33,0,0,1,0,0,1,0,0
Red,FALSE,3,0,1,1,3,0,0,0,1,2,0,0,3,182.88,180.34,155,0,3,3,3,0,0,0,2,1,2,0,5,187.96,185.42,170,29,31,0,0,1,0,0,1,0,0
Blue,FALSE,3,2,0,0,2,0,0,0,0,0,0,0,0,175.26,172.72,135,1,0,0,1,0,0,0,0,0,0,0,0,162.56,172.72,135,29,30,0,1,0,0,0,1,0,0
Red,FALSE,3,0,1,1,1,0,0,0,1,0,0,0,1,167.64,172.72,135,0,2,2,2,0,0,1,0,0,1,0,2,175.26,185.42,135,38,30,0,0,1,0,0,1,0,0
Blue,FALSE,3,4,0,1,6,0,0,0,0,0,0,1,1,167.64,167.64,125,1,0,0,1,0,0,0,0,0,0,0,0,170.18,170.18,125,31,31,0,1,0,0,0,0,0,1
Blue,FALSE,3,0,1,1,1,0,0,0,1,0,0,0,1,165.1,170.18,125,0,2,2,1,0,0,1,1,0,0,0,2,152.4,152.4,115,25,28,0,0,1,0,0,1,0,0
Red,FALSE,3,1,0,0,1,0,0,0,0,0,0,0,0,177.8,175.26,145,1,0,0,1,0,0,0,0,0,0,0,0,172.72,175.26,145,28,23,0,1,0,0,0,1,0,0
Red,TRUE,5,0,1,3,3,3,0,1,1,2,0,0,4,172.72,175.26,145,0,3,3,0,1,0,0,0,3,0,0,3,172.72,172.72,145,36,32,0,0,1,0,0,1,0,0
Red,FALSE,3,0,3,4,4,0,1,1,5,6,0,0,13,180.34,190.5,155,0,8,8,0,0,0,0,4,2,2,0,8,177.8,177.8,155,31,29,0,1,0,0,0,1,0,0
Red,FALSE,3,0,3,3,0,0,0,0,1,2,0,0,3,177.8,185.42,155,0,1,1,3,0,0,0,0,3,1,0,4,182.88,190.5,155,24,27,0,1,0,0,0,0,0,1
Blue,FALSE,3,1,0,1,2,2,0,0,1,0,1,0,2,154.94,160.02,115,0,3,3,0,0,0,0,1,0,2,0,3,162.56,162.56,115,30,30,0,1,0,0,0,1,0,0
Blue,FALSE,3,1,0,7,5,0,0,1,6,4,1,0,12,190.5,203.2,170,2,0,5,6,3,0,1,1,4,0,1,7,187.96,190.5,170,30,33,0,1,0,0,0,1,0,0
Red,FALSE,3,0,2,2,1,0,0,1,1,0,0,0,2,182.88,177.8,145,0,1,6,2,0,0,1,2,3,1,0,7,177.8,185.42,145,28,29,0,0,1,0,0,1,0,0
Blue,FALSE,3,0,2,2,0,0,0,1,0,0,1,0,2,167.64,167.64,125,3,0,4,4,0,0,0,2,2,1,0,5,175.26,172.72,135,24,26,0,1,0,0,0,1,0,0
Blue,FALSE,5,0,2,5,7,3,0,0,9,4,3,0,16,172.72,177.8,170,0,1,5,5,5,0,3,4,6,0,0,13,180.34,187.96,170,33,35,0,0,1,0,0,0,1,0
Blue,FALSE,3,0,1,2,1,0,0,1,2,0,0,0,3,167.64,177.8,145,0,2,4,3,1,0,0,3,3,3,0,9,172.72,180.34,145,32,35,0,1,0,0,0,1,0,0
Red,FALSE,3,0,2,2,1,0,0,0,0,4,0,0,4,177.8,180.34,170,0,5,5,2,0,0,0,3,4,0,0,7,182.88,185.42,170,26,31,0,1,0,0,0,1,0,0
Red,FALSE,3,1,0,4,1,0,0,0,0,1,3,0,4,190.5,195.58,205,1,0,5,4,1,0,0,2,3,3,1,9,187.96,193.04,205,30,38,0,1,0,0,0,1,0,0
Blue,FALSE,3,0,1,1,4,0,0,0,1,1,1,0,3,187.96,198.12,205,0,1,2,2,0,0,0,1,2,0,0,3,180.34,195.58,185,34,33,0,1,0,0,0,0,0,1
Red,FALSE,3,0,1,1,0,0,0,0,0,1,0,0,1,180.34,182.88,170,0,2,3,2,1,0,1,2,2,0,0,5,177.8,180.34,170,35,31,0,0,0,1,0,1,0,0
Red,FALSE,3,0,1,2,1,0,0,0,1,1,1,0,3,185.42,187.96,170,0,1,3,2,0,0,1,3,1,0,0,5,185.42,187.96,170,30,36,0,0,1,0,0,1,0,0
Red,FALSE,3,1,0,3,4,0,0,0,1,3,1,0,6,172.72,177.8,155,1,0,3,6,0,0,1,3,3,0,0,7,172.72,172.72,155,34,32,0,1,0,0,0,1,0,0
Red,FALSE,3,2,0,1,3,0,0,0,0,1,0,0,1,180.34,198.12,185,1,0,1,2,0,0,1,0,0,0,0,1,182.88,187.96,185,30,28,0,0,0,1,0,1,0,0
Red,FALSE,3,1,0,2,7,0,0,0,0,2,5,0,7,182.88,187.96,170,3,0,2,4,0,0,1,0,2,0,0,3,182.88,185.42,170,33,28,0,1,0,0,0,1,0,0
Blue,FALSE,5,0,4,4,1,0,0,0,0,2,2,0,4,172.72,175.26,145,0,4,6,3,0,0,0,6,4,0,0,10,172.72,177.8,145,26,34,0,0,0,1,0,1,0,0
Blue,FALSE,3,1,0,2,2,0,0,0,1,0,2,0,3,172.72,180.34,145,1,0,4,2,0,0,1,1,1,1,0,4,177.8,180.34,145,29,25,0,0,1,0,0,1,0,0
Red,FALSE,3,0,2,4,2,0,0,0,3,1,2,0,6,170.18,180.34,135,0,1,1,1,0,0,1,0,0,0,0,1,167.64,170.18,135,28,29,0,1,0,0,0,1,0,0
Red,FALSE,3,0,1,1,1,0,0,1,0,0,0,0,1,177.8,177.8,155,0,1,1,2,0,0,0,2,0,1,0,3,175.26,175.26,155,30,34,0,0,1,0,0,1,0,0
Red,FALSE,3,0,2,2,3,1,0,1,1,1,0,0,3,167.64,167.64,125,0,1,3,2,1,0,1,3,0,1,0,5,167.64,172.72,125,33,33,0,1,0,0,0,1,0,0
Blue,FALSE,3,2,0,0,2,0,0,0,0,0,0,0,0,175.26,177.8,135,1,0,1,1,0,0,0,0,0,1,0,1,167.64,170.18,135,29,31,0,1,0,0,0,0,1,0
Red,FALSE,3,1,0,3,6,0,0,1,4,2,2,0,9,175.26,180.34,135,0,1,2,2,1,0,1,1,2,0,0,4,167.64,170.18,135,37,28,0,0,1,0,0,1,0,0
Blue,FALSE,3,1,0,0,1,0,0,0,0,0,0,0,0,167.64,177.8,155,1,0,1,1,0,0,0,1,0,0,0,1,172.72,172.72,155,31,31,0,1,0,0,0,1,0,0
Blue,FALSE,3,0,1,1,0,0,0,0,0,1,0,0,1,182.88,187.96,185,1,0,1,1,0,0,0,0,0,1,0,1,190.5,195.58,185,25,30,0,1,0,0,0,1,0,0
Red,TRUE,5,1,0,7,2,10,0,0,6,2,0,0,8,170.18,177.8,145,0,11,11,3,2,0,1,4,7,2,0,14,180.34,175.26,155,31,25,0,1,0,0,0,1,0,0
Blue,FALSE,3,0,5,5,0,0,0,0,0,3,1,1,5,193.04,210.82,250,0,2,4,4,1,1,0,2,5,0,0,8,193.04,203.2,265,31,37,0,1,0,0,0,1,0,0
Red,FALSE,3,0,4,4,2,0,0,0,7,0,0,0,7,167.64,175.26,135,0,1,4,2,1,0,1,3,1,0,0,5,162.56,162.56,135,24,30,0,1,0,0,0,1,0,0
Red,FALSE,3,0,1,1,0,0,0,0,0,1,0,0,1,180.34,177.8,155,2,0,3,3,2,0,2,0,1,0,0,3,175.26,175.26,155,29,33,0,1,0,0,0,1,0,0
Red,FALSE,3,1,0,2,1,0,0,0,0,0,2,0,2,160.02,157.48,115,0,2,3,1,0,0,0,4,0,1,0,5,154.94,152.4,115,31,28,0,1,0,0,0,1,0,0
Blue,FALSE,3,0,2,2,3,0,0,1,1,3,1,0,6,180.34,177.8,155,0,1,4,8,0,0,0,1,0,9,0,10,177.8,187.96,155,33,28,0,1,0,0,0,1,0,0
Blue,FALSE,3,0,2,2,5,0,0,1,0,1,3,0,5,177.8,190.5,155,0,2,3,3,0,0,0,2,3,2,0,7,180.34,193.04,170,30,29,0,1,0,0,0,1,0,0
Red,FALSE,3,0,1,1,0,0,0,0,1,0,0,0,1,175.26,177.8,155,0,3,3,0,0,0,0,1,2,0,0,3,175.26,185.42,155,29,28,0,1,0,0,0,0,1,0
Red,FALSE,3,0,1,2,3,0,0,0,1,1,1,0,3,170.18,170.18,115,0,3,3,1,0,0,0,2,0,2,0,4,162.56,165.1,115,30,33,0,1,0,0,0,1,0,0
Red,FALSE,3,2,0,0,2,0,0,0,0,0,0,0,0,154.94,165.1,115,1,0,1,2,1,0,0,1,0,0,0,1,160.02,162.56,115,34,26,0,1,0,0,0,0,0,1
Blue,FALSE,3,1,0,1,1,0,0,0,0,1,0,0,1,177.8,185.42,170,1,0,0,1,0,0,0,0,0,0,0,0,182.88,182.88,170,32,29,0,1,0,0,0,1,0,0
Blue,FALSE,3,1,0,2,1,0,0,0,0,0,2,0,2,185.42,195.58,185,0,2,2,1,0,0,0,0,0,2,0,2,185.42,185.42,185,29,31,0,0,1,0,0,1,0,0
Blue,FALSE,3,0,2,2,0,0,0,0,2,0,0,0,2,170.18,180.34,135,0,3,3,3,1,0,0,1,0,2,0,3,167.64,165.1,135,25,30,0,1,0,0,0,1,0,0
Blue,FALSE,3,2,0,1,2,0,0,0,1,0,0,0,1,190.5,193.04,185,1,0,2,1,1,0,0,2,0,0,0,2,185.42,187.96,185,36,29,0,1,0,0,0,1,0,0
Blue,FALSE,5,2,0,5,4,1,0,2,2,2,2,0,8,175.26,180.34,185,1,0,5,8,4,0,2,8,10,0,0,20,185.42,190.5,185,26,38,0,0,1,0,0,1,0,0
Red,FALSE,3,0,1,1,1,0,0,2,0,0,0,0,2,180.34,182.88,170,0,2,2,2,0,0,1,0,3,0,0,4,182.88,180.34,170,30,29,0,1,0,0,0,1,0,0
Blue,FALSE,3,1,0,2,2,0,0,1,1,0,0,0,2,190.5,193.04,235,0,2,2,2,0,0,0,1,1,0,0,2,193.04,198.12,250,36,28,0,1,0,0,0,1,0,0
Red,FALSE,5,0,3,3,1,0,0,0,1,2,0,0,3,190.5,198.12,249,0,1,6,4,3,0,0,3,4,3,0,10,193.04,195.58,231,32,40,0,1,0,0,0,1,0,0
Blue,FALSE,3,0,2,2,2,0,0,0,2,1,0,0,3,180.34,182.88,170,0,1,4,6,0,0,1,3,4,1,0,9,187.96,190.5,170,29,33,0,1,0,0,0,1,0,0
Red,FALSE,3,1,0,1,3,0,0,0,1,1,0,0,2,182.88,193.04,170,2,0,2,3,0,0,0,0,0,3,1,4,180.34,185.42,170,28,23,0,0,1,0,0,1,0,0
Red,FALSE,3,1,0,4,2,0,0,1,3,1,1,0,6,182.88,177.8,185,1,0,3,2,1,0,0,3,2,0,0,5,185.42,190.5,185,40,29,0,0,1,0,0,1,0,0
Red,FALSE,3,1,0,0,1,0,0,0,0,0,0,0,0,167.64,170.18,125,1,0,1,3,0,0,1,0,1,0,0,2,165.1,172.72,125,32,28,0,0,1,0,0,1,0,0
Red,FALSE,3,2,0,1,2,0,0,0,1,0,0,0,1,177.8,182.88,155,1,0,4,7,0,0,2,6,2,1,0,11,172.72,172.72,155,31,33,0,1,0,0,0,1,0,0
Blue,FALSE,3,2,0,0,2,0,0,0,0,0,0,0,0,167.64,172.72,125,1,0,1,1,0,0,0,1,0,0,0,1,165.1,172.72,125,26,29,0,1,0,0,0,1,0,0
Red,FALSE,5,0,1,5,5,4,0,1,1,2,3,0,7,177.8,182.88,170,1,0,4,5,0,1,0,4,5,3,0,13,175.26,182.88,155,30,28,0,1,0,0,0,0,1,0
Red,FALSE,3,1,0,6,10,2,0,3,8,5,0,0,16,177.8,182.88,170,3,0,7,10,0,0,0,2,9,2,0,13,182.88,190.5,170,35,36,0,0,1,0,0,1,0,0
Blue,FALSE,3,5,0,7,9,5,0,1,2,9,2,0,14,190.5,195.58,240,0,1,1,0,0,0,0,0,1,0,0,1,190.5,187.96,264,38,26,0,1,0,0,0,1,0,0
Blue,FALSE,3,1,0,3,4,1,0,1,4,0,2,0,7,185.42,198.12,185,2,0,4,11,1,0,0,4,6,3,0,13,182.88,187.96,185,32,38,0,0,1,0,0,1,0,0
Red,FALSE,3,0,2,2,1,0,0,0,1,1,0,0,2,170.18,175.26,135,0,2,7,2,0,0,3,4,1,1,0,9,165.1,167.64,135,30,35,0,0,1,0,0,1,0,0
Blue,FALSE,3,0,1,4,11,0,0,3,5,1,4,0,13,170.18,177.8,155,1,0,3,10,0,0,1,1,4,7,1,14,177.8,180.34,155,35,33,0,1,0,0,0,1,0,0
Blue,FALSE,3,1,0,0,1,0,0,0,0,0,0,0,0,167.64,170.18,135,0,1,3,3,3,0,0,3,4,0,1,8,160.02,167.64,135,29,33,0,1,0,0,0,1,0,0
Red,FALSE,3,0,2,2,0,0,0,1,1,0,0,0,2,154.94,160.02,115,0,1,1,0,1,0,0,0,0,1,0,1,165.1,167.64,115,24,26,0,1,0,0,0,1,0,0
Red,FALSE,3,1,0,0,1,0,0,0,0,0,0,0,0,177.8,185.42,155,1,0,2,2,0,0,0,1,1,1,0,3,182.88,180.34,170,32,21,0,1,0,0,0,1,0,0
Blue,FALSE,3,0,1,1,2,0,0,0,0,0,1,0,1,165.1,162.56,115,0,1,1,3,0,0,0,2,0,0,0,2,160.02,162.56,115,31,32,0,1,0,0,0,1,0,0
Blue,FALSE,3,1,0,3,2,0,0,2,1,1,1,0,5,185.42,193.04,170,1,0,3,5,1,0,1,4,0,2,0,7,180.34,190.5,170,26,32,0,1,0,0,0,1,0,0
Red,FALSE,3,1,0,1,1,0,0,0,0,1,0,0,1,185.42,187.96,205,1,0,1,3,0,0,1,0,1,0,0,2,190.5,198.12,205,32,29,0,1,0,0,0,1,0,0
Blue,TRUE,5,0,12,12,2,14,0,2,10,5,2,0,19,180.34,193.04,185,0,5,5,7,3,0,2,8,10,0,0,20,185.42,190.5,185,36,38,0,1,0,0,0,1,0,0
Blue,TRUE,5,0,2,4,3,5,0,0,4,5,1,0,10,167.64,170.18,125,0,6,6,0,1,0,0,2,4,0,0,6,172.72,165.1,135,31,26,0,1,0,0,0,1,0,0
Blue,TRUE,5,0,1,3,2,1,0,0,1,0,3,0,4,165.1,165.1,115,0,8,8,0,6,0,1,5,2,0,0,8,167.64,165.1,125,25,30,0,1,0,0,0,1,0,0
Red,FALSE,3,1,0,3,5,0,0,0,5,3,1,0,9,180.34,187.96,170,2,0,7,3,2,0,0,3,5,0,0,8,182.88,190.5,170,32,34,0,1,0,0,0,1,0,0
Blue,FALSE,3,0,2,2,0,0,0,0,0,2,0,0,2,185.42,182.88,185,1,0,6,7,3,1,2,5,5,0,0,13,175.26,175.26,185,26,34,0,1,0,0,0,0,1,0
Red,FALSE,3,0,2,2,1,0,0,0,1,1,2,0,4,177.8,185.42,155,0,2,5,1,0,0,0,3,1,3,0,7,190.5,193.04,155,29,30,0,1,0,0,0,1,0,0
Blue,FALSE,3,0,1,1,1,0,0,0,1,0,0,0,1,193.04,195.58,240,1,0,2,5,0,0,0,0,3,0,0,3,195.58,195.58,250,33,34,0,1,0,0,0,0,1,0
Red,FALSE,3,1,0,3,3,1,0,0,4,2,0,0,6,190.5,200.66,205,0,2,4,5,1,1,0,1,4,3,0,9,190.5,203.2,205,28,34,0,1,0,0,0,0,1,0
Red,FALSE,3,0,3,3,0,0,0,0,0,0,3,0,3,187.96,187.96,170,1,0,2,2,0,0,0,1,1,1,0,3,190.5,198.12,170,25,27,0,0,0,1,0,1,0,0
Blue,FALSE,3,0,1,1,2,0,0,0,1,1,0,0,2,193.04,203.2,265,0,2,2,1,0,0,0,0,1,3,0,4,187.96,203.2,240,26,40,0,1,0,0,0,1,0,0
Blue,FALSE,3,0,1,1,0,0,0,0,1,0,0,0,1,175.26,182.88,135,0,1,1,0,0,0,0,1,0,0,0,1,172.72,172.72,135,22,29,0,1,0,0,0,1,0,0
Red,FALSE,5,2,0,8,7,5,0,1,6,6,1,0,14,185.42,187.96,185,0,1,5,3,0,0,0,2,5,1,0,8,185.42,195.58,185,39,33,0,0,1,0,0,0,1,0
Blue,FALSE,3,0,4,4,1,0,0,0,3,2,2,0,7,180.34,182.88,170,1,0,7,7,2,0,1,8,1,9,0,19,185.42,182.88,170,29,39,0,1,0,0,0,0,1,0
Red,FALSE,3,0,2,2,1,0,0,0,0,3,1,0,4,172.72,180.34,135,0,3,3,3,0,0,0,1,1,2,0,4,167.64,165.1,135,30,31,0,1,0,0,0,1,0,0
Red,FALSE,3,2,0,7,10,0,0,2,6,3,6,0,17,172.72,180.34,155,1,0,7,4,0,0,1,5,2,2,1,11,175.26,177.8,155,34,39,0,0,1,0,0,0,1,0
Red,FALSE,3,0,2,2,1,0,0,0,1,2,0,0,3,185.42,195.58,185,0,2,4,4,0,0,0,1,6,0,0,7,187.96,193.04,205,29,33,0,1,0,0,0,1,0,0
Red,FALSE,3,0,3,3,2,0,0,0,1,1,2,0,4,172.72,177.8,135,1,0,6,3,0,0,1,3,5,1,0,10,160.02,170.18,135,24,27,0,0,0,1,0,1,0,0
Red,FALSE,3,0,1,1,1,0,0,0,0,1,1,0,2,182.88,193.04,170,1,0,4,2,0,0,0,0,2,2,0,4,180.34,190.5,170,28,25,0,1,0,0,0,1,0,0
Red,FALSE,3,0,1,1,1,0,0,0,1,1,0,0,2,182.88,185.42,185,0,2,2,3,1,0,0,2,0,2,0,4,187.96,200.66,185,27,27,0,1,0,0,0,1,0,0
Blue,FALSE,3,0,1,1,0,0,0,0,0,1,0,0,1,175.26,172.72,155,2,0,2,4,0,0,1,2,0,0,0,3,172.72,175.26,155,29,33,0,1,0,0,0,1,0,0
Red,FALSE,3,0,1,1,1,0,0,0,0,1,0,0,1,180.34,193.04,170,0,3,3,1,0,0,1,1,1,0,0,3,180.34,185.42,170,31,30,0,1,0,0,0,1,0,0
Blue,FALSE,5,0,2,2,1,0,0,0,2,1,0,0,3,182.88,187.96,170,2,0,8,6,1,0,0,6,8,5,0,19,185.42,185.42,155,24,34,0,0,1,0,0,1,0,0
Red,FALSE,3,0,2,2,1,0,0,0,2,0,0,0,2,182.88,190.5,205,2,0,1,4,0,0,0,1,1,0,0,2,187.96,198.12,205,27,34,0,1,0,0,0,1,0,0
Blue,FALSE,3,1,0,1,1,0,0,0,0,0,1,0,1,167.64,167.64,135,1,0,2,2,0,0,0,0,0,2,0,2,165.1,177.8,135,31,27,0,0,0,1,0,1,0,0
Blue,FALSE,3,1,0,1,4,0,0,0,2,2,0,0,4,180.34,187.96,145,1,0,2,3,1,0,0,2,0,0,0,2,175.26,165.1,145,27,31,0,1,0,0,0,0,1,0
Blue,FALSE,3,1,0,2,1,0,0,1,1,0,0,0,2,167.64,177.8,145,1,0,2,5,0,0,0,2,1,2,0,5,172.72,185.42,135,32,29,0,1,0,0,0,1,0,0
Red,TRUE,5,0,5,5,2,0,0,1,3,1,4,0,9,175.26,195.58,170,0,9,9,1,1,0,1,3,2,5,1,12,180.34,193.04,155,25,33,0,1,0,0,0,1,0,0
Red,TRUE,5,0,2,3,2,0,0,0,3,0,2,0,5,162.56,160.02,135,0,12,12,2,12,0,1,7,2,4,0,14,160.02,167.64,125,24,31,0,1,0,0,0,1,0,0
Red,FALSE,3,0,2,2,4,0,0,0,0,3,0,0,3,195.58,195.58,250,1,0,6,4,3,0,0,3,4,2,0,9,193.04,195.58,231,34,40,0,0,1,0,0,1,0,0
Blue,FALSE,3,0,1,1,0,0,0,0,1,0,0,0,1,167.64,162.56,135,0,1,1,0,0,0,0,0,1,0,0,1,170.18,172.72,135,27,24,0,1,0,0,0,1,0,0
Red,FALSE,3,1,0,3,1,0,0,1,1,0,1,0,3,172.72,175.26,125,2,0,0,2,0,0,0,0,0,0,0,0,172.72,177.8,135,31,27,0,1,0,0,0,1,0,0
Red,FALSE,3,0,1,1,0,0,0,0,1,0,0,0,1,165.1,165.1,125,0,1,2,5,1,0,1,1,1,3,0,6,167.64,167.64,125,29,33,0,1,0,0,0,1,0,0
Blue,FALSE,3,0,2,5,4,0,0,2,7,1,0,0,10,185.42,187.96,185,0,1,5,6,1,0,1,4,2,5,0,12,185.42,198.12,185,29,36,0,1,0,0,0,1,0,0
Red,FALSE,5,1,0,4,5,1,0,2,6,4,0,1,13,187.96,190.5,170,0,1,4,5,1,1,0,1,4,2,0,8,190.5,203.2,205,36,34,0,0,1,0,0,0,1,0
