"Bcurrentlosestreak","Bcurrentwinstreak","Blongestwinstreak","Blosses","Btotalroundsfought","Btotaltitlebouts","BwinbyDecisionMajority","BwinbyDecisionSplit","BwinbyDecisionUnanimous","BwinbyKOTKO","BwinbySubmission","BwinbyTKODoctorStoppage","Bwins","BHeightcms","BReachcms","BWeightlbs","Bage"
0,1,1,1,4,0,0,0,0,1,0,0,1,182.88,187.96,205,24
0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,180.34,155,26
0,3,4,5,45,0,1,0,4,8,3,0,16,175.26,182.88,155,30
0,5,5,0,14,0,0,1,2,2,0,0,5,193.04,203.2,185,29
1,0,2,4,11,1,0,0,0,3,0,0,3,185.42,193.04,205,29
0,1,1,1,4,0,0,0,0,1,0,0,1,185.42,193.04,170,34
2,0,5,4,15,0,0,0,0,3,3,0,6,190.5,195.58,205,27
2,0,0,2,4,0,0,0,0,0,0,0,0,175.26,180.34,155,28
0,2,2,1,13,0,0,1,1,0,2,0,4,165.1,170.18,125,28
0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,193.04,170,24
1,0,0,1,3,0,0,0,0,0,0,0,0,165.1,175.26,135,27
1,0,4,3,22,0,0,1,3,1,0,0,5,180.34,182.88,170,30
0,1,1,3,14,0,0,0,1,1,0,0,2,175.26,177.8,135,30
1,0,2,1,5,0,0,0,1,1,0,0,2,172.72,170.18,115,30
0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,185.42,135,24
0,1,1,2,10,0,0,0,0,2,0,0,2,180.34,177.8,155,30
0,2,2,2,12,0,0,0,1,3,1,0,5,185.42,195.58,185,30
0,2,4,9,50,1,0,1,6,4,0,0,11,177.8,185.42,145,32
0,2,2,2,15,0,0,1,1,0,2,0,4,160.02,157.48,115,33
0,2,2,1,9,0,0,1,1,0,0,0,2,172.72,182.88,145,28
1,0,1,3,10,0,0,0,1,0,0,0,1,160.02,160.02,115,36
1,0,1,3,15,0,0,1,1,0,0,0,2,177.8,185.42,155,29
1,0,2,2,9,0,0,0,0,1,3,0,4,185.42,195.58,185,31
0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,172.72,135,28
1,0,2,2,13,0,0,1,1,0,1,0,3,170.18,170.18,125,27
0,2,2,1,7,0,0,1,0,0,1,0,2,167.64,165.1,135,24
1,0,5,7,38,4,0,1,1,2,4,0,8,177.8,182.88,170,32
0,4,4,0,10,0,0,0,3,1,0,0,4,185.42,198.12,264,31
0,3,3,0,7,0,0,1,0,2,0,0,3,165.1,172.72,125,31
0,1,1,1,6,0,0,1,0,0,0,0,1,177.8,177.8,145,28
0,3,3,1,12,0,0,0,3,0,0,0,3,165.1,170.18,125,26
0,1,1,0,2,0,0,0,0,0,1,0,1,177.8,187.96,145,28
0,2,3,3,24,0,0,2,3,0,0,0,5,167.64,167.64,135,38
1,0,0,1,3,0,0,0,0,0,0,0,0,162.56,162.56,125,30
1,0,1,5,22,0,0,0,3,0,0,0,3,160.02,162.56,115,34
1,0,0,1,2,0,0,0,0,0,0,0,0,175.26,175.26,135,27
0,0,0,0,0,0,0,0,0,0,0,0,0,167.64,180.34,125,29
2,0,3,6,41,0,0,0,5,3,1,0,9,180.34,187.96,170,34
0,1,4,3,23,0,0,0,1,0,7,0,8,180.34,182.88,170,30
0,3,3,0,5,0,0,0,1,1,1,0,3,193.04,195.58,205,29
0,3,3,0,7,0,0,1,1,0,1,0,3,180.34,180.34,170,36
2,0,0,2,4,0,0,0,0,0,0,0,0,180.34,190.5,185,33
0,1,1,2,8,0,0,0,1,0,1,0,2,177.8,182.88,145,31
1,0,2,2,11,0,0,0,1,1,2,0,4,177.8,185.42,155,31
2,0,0,2,3,0,0,0,0,0,0,0,0,185.42,198.12,205,32
0,2,2,1,7,0,0,0,1,1,0,0,2,170.18,180.34,145,27
1,0,0,1,2,0,0,0,0,0,0,0,0,170.18,165.1,125,30
0,2,2,0,6,0,0,0,2,0,0,0,2,172.72,177.8,145,31
0,2,9,4,49,5,0,0,5,9,0,0,14,193.04,195.58,238,35
0,3,3,0,8,0,0,0,2,1,0,0,3,187.96,193.04,170,31
1,0,2,3,11,0,0,0,0,2,2,0,4,182.88,193.04,170,29
1,0,4,4,23,0,0,0,1,3,2,0,6,193.04,198.12,265,37
0,3,3,5,23,0,0,0,3,2,1,0,6,172.72,177.8,155,30
1,0,2,4,21,0,0,1,2,2,0,0,5,182.88,185.42,185,31
0,2,4,3,28,1,0,2,2,1,3,0,8,182.88,182.88,170,36
0,1,1,1,4,1,0,0,1,0,0,0,1,167.64,172.72,135,29
2,0,1,2,6,0,0,1,0,0,0,0,1,185.42,187.96,145,29
0,2,2,2,8,0,0,1,1,0,0,0,2,172.72,177.8,135,29
0,1,1,3,16,0,0,3,0,1,0,0,4,180.34,182.88,170,32
1,0,0,1,2,0,0,0,0,0,0,0,0,182.88,185.42,155,32
0,3,3,3,22,0,0,0,1,5,1,0,7,193.04,193.04,205,30
0,9,9,0,28,1,0,0,7,1,1,0,9,182.88,193.04,170,31
0,0,0,0,0,0,0,0,0,0,0,0,0,180.34,185.42,170,34
0,2,2,0,4,0,0,0,1,0,1,0,2,162.56,166.080135375813,115,29
0,2,4,4,22,0,0,0,2,2,3,0,7,167.64,165.1,135,32
0,4,4,0,10,0,0,0,1,0,3,0,4,185.42,185.42,145,28
0,2,2,0,2,0,0,0,0,2,0,0,2,195.58,208.28,205,26
0,4,4,2,21,1,0,1,3,3,0,0,7,167.64,170.18,135,29
0,1,3,1,8,0,0,0,0,0,4,0,4,187.96,187.96,170,27
1,0,1,1,3,0,0,0,0,0,1,0,1,177.8,185.42,185,35
1,0,0,1,2,0,0,0,0,0,0,0,0,154.94,160.02,115,26
0,3,4,5,29,0,0,0,2,10,0,0,12,187.96,193.04,205,35
0,1,2,3,11,0,0,0,1,3,1,0,5,185.42,190.5,253,33
1,0,0,1,3,0,0,0,0,0,0,0,0,182.88,187.96,205,24
1,0,2,2,12,0,0,0,2,0,0,0,2,172.72,170.18,125,24
0,3,3,0,6,0,0,0,1,2,0,0,3,170.18,170.18,135,26
0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,187.96,235,26
1,0,1,1,4,0,0,1,0,0,0,0,1,180.34,190.5,170,25
1,0,0,1,1,0,0,0,0,0,0,0,0,172.72,172.72,145,26
0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,187.96,170,22
0,3,3,2,13,0,0,0,1,3,1,0,5,175.26,187.96,155,34
0,0,0,0,0,0,0,0,0,0,0,0,0,190.5,195.58,155,24
0,1,7,2,28,6,0,0,2,10,0,0,12,185.42,195.58,240,36
1,0,3,4,27,0,0,1,1,4,1,0,7,180.34,177.8,155,34
0,1,3,1,11,0,0,0,1,0,3,0,4,162.56,162.56,115,31
