"Winner","Bcurrentlosestreak","Bcurrentwinstreak","Blongestwinstreak","Blosses","Btotalroundsfought","Btotaltitlebouts","BwinbyDecisionMajority","BwinbyDecisionSplit","BwinbyDecisionUnanimous","BwinbyKOTKO","BwinbySubmission","BwinbyTKODoctorStoppage","Bwins","BHeightcms","BReachcms","BWeightlbs","Rcurrentlosestreak","Rcurrentwinstreak","Rlongestwinstreak","Rlosses","Rtotalroundsfought","Rtotaltitlebouts","RwinbyDecisionMajority","RwinbyDecisionSplit","RwinbyDecisionUnanimous","RwinbyKOTKO","RwinbySubmission","RwinbyTKODoctorStoppage","Rwins","RHeightcms","RReachcms","RWeightlbs","Bage","Rage","BStanceOpen.Stance","BStanceOrthodox","BStanceSideways","BStanceSouthpaw","BStanceSwitch","RStanceOpen.Stance","RStanceOrthodox","RStanceSideways","RStanceSouthpaw","RStanceSwitch"
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,182.88,170,0,4,4,2,18,0,0,0,0,5,3,0,8,180.34,190.5,170,31,27,0,1,0,0,0,0,1,0,0,0
"Red",0,2,4,8,59,0,0,2,7,3,2,0,14,172.72,172.72,155,0,4,4,9,42,0,0,0,1,0,13,0,14,177.8,187.96,155,34,29,0,1,0,0,0,0,1,0,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,180.34,155,0,3,3,1,8,0,0,0,0,0,3,0,3,167.64,177.8,155,27,32,0,1,0,0,0,0,1,0,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,175.26,155,0,1,1,3,16,0,0,1,1,1,0,0,3,177.8,185.42,155,23,29,0,0,0,0,1,0,0,0,1,0
"Blue",0,0,0,0,0,0,0,0,0,0,0,0,0,185.42,185.42,170,1,0,2,3,17,0,0,1,1,2,1,0,5,185.42,187.96,170,25,31,0,1,0,0,0,0,0,0,1,0
"Blue",0,1,1,0,3,0,0,0,1,0,0,0,1,177.8,182.88,145,0,2,2,0,6,1,0,2,0,0,0,0,2,180.34,180.34,155,25,27,0,0,0,0,1,0,1,0,0,0
"Blue",3,0,3,11,47,1,0,1,2,3,4,0,10,185.42,195.58,205,2,0,3,6,26,0,0,1,3,2,0,0,6,187.96,193.04,205,38,38,0,1,0,0,0,0,1,0,0,0
"Red",0,2,2,0,5,0,0,0,0,2,0,0,2,182.88,187.96,185,0,1,2,3,22,0,0,0,3,1,3,0,7,182.88,190.5,185,26,34,0,1,0,0,0,0,0,0,1,0
"Red",3,0,1,3,9,0,0,1,0,0,0,0,1,185.42,187.96,145,1,0,2,1,9,0,0,0,1,0,1,0,2,170.18,177.8,145,29,29,0,0,0,1,0,0,0,0,1,0
"Blue",0,3,3,4,33,1,0,1,5,2,2,0,10,154.94,157.48,115,0,3,3,2,23,3,0,0,2,1,3,0,6,165.1,165.1,115,27,26,0,1,0,0,0,0,1,0,0,0
"Red",1,0,16,6,58,13,0,0,3,11,3,0,17,187.96,195.58,185,0,1,2,4,17,0,0,0,1,3,0,0,4,180.34,195.58,185,44,35,0,0,0,1,0,0,0,0,0,1
"Blue",0,6,6,0,15,0,0,0,3,3,0,0,6,167.64,180.34,145,0,2,7,3,45,11,0,0,6,4,0,0,10,170.18,177.8,145,30,32,0,1,0,0,0,0,1,0,0,0
"Blue",0,1,1,0,3,0,0,0,1,0,0,0,1,185.42,180.34,170,0,1,7,10,61,1,0,1,5,7,1,1,15,175.26,177.8,170,26,35,0,1,0,0,0,0,1,0,0,0
"Red",2,0,3,4,21,1,0,2,1,1,0,0,4,165.1,162.56,135,0,2,2,2,12,0,0,1,1,0,0,0,2,175.26,172.72,135,35,31,0,1,0,0,0,0,1,0,0,0
"Blue",0,1,1,0,3,0,0,0,1,0,0,0,1,195.58,200.66,205,0,1,2,5,24,0,0,1,1,4,0,0,6,187.96,190.5,205,27,42,0,1,0,0,0,0,0,0,1,0
