"size","decay","Accuracy","Kappa","AccuracySD","KappaSD"
1,0,0.678597701678107,0.035069318645857,0.00791100096990891,0.0676003680815465
1,1e-04,0.677990703542556,0.0204193362076432,0.0044640746195189,0.0514111312630758
1,0.1,0.68240754454726,0.123766728085898,0.0109691786573725,0.0633903965615598
3,0,0.657832690702283,0.137327561755359,0.0223067591701341,0.0602798696264948
3,1e-04,0.661387354713953,0.123071563176384,0.0196155395145861,0.0582748721925585
3,0.1,0.670882743146348,0.13159803995142,0.0114337249806755,0.0390811844284415
5,0,0.659708214397644,0.117702197857288,0.0161602022809882,0.0651774553633415
5,1e-04,0.650166395808609,0.127077149672838,0.0183952188674385,0.0447220633855764
5,0.1,0.656409649213663,0.12421234532236,0.0167459059234498,0.0362797426725742
