"Fighter_ID","Fighter","Date","current_lose_streak","current_win_streak","longest_win_streak","losses","total_rounds_fought","total_title_bouts","win_by_Decision_Majority","win_by_Decision_Split","win_by_Decision_Unanimous","win_by_KO_TKO","win_by_Submission","win_by_TKO_Doctor_Stoppage","wins","Height_cms","Reach_cms","Weight_lbs","age","Stance_Open_Stance","Stance_Orthodox","Stance_Southpaw","Stance_Switch"
46,"Alex Perez","2019-03-30",1,0,3,1,7,0,0,0,1,1,1,0,3,167.64,165.1,135,27,0,1,0,0
47,"Alex Reyes","2017-09-16",0,0,0,0,0,0,0,0,0,0,0,0,0,180.34,185.42,170,30,0,1,0,0
48,"Alex Schoenauer","2005-04-09",0,0,0,0,0,0,0,0,0,0,0,0,0,190.5,195.742360937783,185,28,0,1,0,0
49,"Alex Soto","2012-05-15",1,0,0,1,1,0,0,0,0,0,0,0,0,172.72,180.34,135,28,0,0,1,0
50,"Alex Torres","2015-02-28",0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,177.8,145,26,0,1,0,0
51,"Alex White","2019-03-09",2,0,1,5,19,0,0,0,1,2,0,0,3,182.88,180.34,155,30,0,0,1,0
52,"Alexa Grasso","2019-06-08",1,0,1,2,10,0,0,1,1,0,0,0,2,165.1,167.64,115,25,0,1,0,0
53,"Alexander Gustafsson","2019-06-01",1,0,6,5,38,3,0,0,3,5,2,0,10,195.58,200.66,205,32,0,1,0,0
54,"Alexander Hernandez","2019-01-19",0,2,2,0,4,0,0,0,1,1,0,0,2,175.26,182.88,155,26,0,1,0,0
55,"Alexander Volkanovski","2019-05-11",0,6,6,0,15,0,0,0,3,3,0,0,6,167.64,180.34,145,30,0,1,0,0
56,"Alexander Volkov","2018-10-06",0,4,4,0,13,0,0,1,1,2,0,0,4,200.66,203.2,250,29,0,1,0,0
57,"Alexander Yakovlev","2019-04-20",2,0,2,4,15,0,0,0,1,1,0,0,2,190.5,187.96,155,34,0,0,1,0
58,"Alexandra Albu","2017-07-29",0,1,1,0,2,0,0,0,0,0,1,0,1,157.48,160.02,115,27,0,1,0,0
59,"Alexandre Barros","2009-01-17",0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,179.562965176708,170,32,0,0,1,0
60,"Alexandre Dantas","2003-02-28",1,0,0,1,3,0,0,0,0,0,0,0,0,187.96,193.045794977604,238,23,0,1,0,0
61,"Alexandre Ferreira","2010-11-13",0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,174.16983325635,205,31,0,1,0,0
62,"Alexandre Pantoja","2019-04-13",0,2,2,1,13,0,0,1,1,0,2,0,4,165.1,170.18,125,28,0,1,0,0
63,"Alexis Davis","2019-03-23",1,0,3,3,23,1,0,2,3,0,1,0,6,167.64,172.72,125,34,0,1,0,0
64,"Alexis Dufresne","2015-01-03",1,0,0,1,3,0,0,0,0,0,0,0,0,175.26,172.72,135,24,0,1,0,0
65,"Ali Bagautinov","2016-11-19",0,1,3,2,20,1,0,0,3,1,0,0,4,162.56,165.1,125,31,0,1,0,0
66,"Alistair Overeem","2019-04-20",0,1,4,6,29,1,1,0,2,6,0,0,9,193.04,203.2,265,38,0,1,0,0
67,"Aljamain Sterling","2019-06-08",0,3,4,3,32,0,0,0,5,1,3,0,9,170.18,180.34,135,29,0,1,0,0
68,"Allan Goes","1998-05-15",0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,187.652663057245,205,27,0,1,0,0
69,"Allan Zuniga","2018-07-06",0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,177.8,155,26,0,1,0,0
70,"Allen Berube","2007-06-23",0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,176.866399216529,155,32,0,1,0,0
71,"Allen Crowder","2019-01-19",1,0,0,1,1,0,0,0,0,0,0,0,0,190.5,193.04,245,29,0,1,0,0
72,"Alonzo Menifield","2019-01-19",0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,193.04,205,31,0,1,0,0
73,"Alptekin Ozkilic","2015-05-09",2,0,1,2,9,0,0,1,0,0,0,0,1,165.1,165.1,125,29,0,1,0,0
74,"Alvin Robinson","2008-11-15",1,0,1,2,5,0,0,0,1,0,0,0,1,175.26,172.72,155,26,0,0,1,0
75,"Amanda Cooper","2018-11-10",1,0,1,3,8,1,0,0,1,1,0,0,2,160.02,162.56,115,27,0,0,0,1
76,"Amanda Lemos","2017-07-16",0,0,0,0,0,0,0,0,0,0,0,0,0,162.56,165.1,135,30,0,0,1,0
77,"Amanda Nunes","2018-12-29",0,7,7,1,22,4,0,1,1,5,2,0,9,172.72,175.26,145,30,0,1,0,0
78,"Amar Suloev","2002-05-10",1,0,0,1,3,0,0,0,0,0,0,0,0,175.26,179.562965176708,183,25,0,1,0,0
79,"Amilcar Alves","2011-01-22",1,0,0,1,3,0,0,0,0,0,0,0,0,182.88,187.652663057245,170,22,0,0,1,0
80,"Amir Sadollah","2014-09-20",1,0,2,4,25,1,0,1,3,1,1,0,6,177.8,187.96,170,34,0,1,0,0
81,"An Ying Wang","2014-08-23",0,1,1,0,1,0,0,0,0,0,0,1,1,182.88,187.652663057245,170,23,0,1,0,0
82,"Anderson Dos Santos","2018-11-17",0,0,0,0,0,0,0,0,0,0,0,0,0,165.1,177.8,135,33,0,1,0,0
83,"Anderson Silva","2019-05-11",1,0,16,6,58,13,0,0,3,11,3,0,17,187.96,195.58,185,44,0,0,1,0
84,"Andre Ewell","2018-12-29",0,1,1,0,3,0,0,1,0,0,0,0,1,172.72,190.5,135,30,0,0,1,0
85,"Andre Fili","2019-02-17",1,0,2,5,27,0,0,1,3,2,0,0,6,180.34,187.96,145,28,0,1,0,0
86,"Andre Gusmao","2009-05-23",1,0,0,1,3,0,0,0,0,0,0,0,0,182.88,187.652663057245,205,32,0,1,0,0
87,"Andre Pederneiras","1999-07-16",0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,176.866399216529,155,32,0,1,0,0
88,"Andre Roberts","1999-07-16",1,0,0,1,1,0,0,0,0,0,0,0,0,187.96,193.045794977604,345,34,0,1,0,0
89,"Andre Soukhamthath","2019-04-13",0,1,1,3,14,0,0,0,1,1,0,0,2,175.26,177.8,135,30,0,1,0,0
90,"Andre Winner","2011-07-02",2,0,2,3,11,1,0,0,1,1,0,0,2,180.34,185.42,155,29,0,1,0,0
91,"Andrea Lee","2019-02-17",0,1,1,0,3,0,0,0,1,0,0,0,1,167.64,175.26,125,30,0,1,0,0
92,"Andreas Stahl","2015-12-10",1,0,0,1,3,0,0,0,0,0,0,0,0,180.34,185.42,170,27,0,1,0,0
93,"Andrei Arlovski","2019-04-27",3,0,7,12,59,5,0,1,4,9,2,0,16,190.5,195.58,240,40,0,1,0,0
94,"Andrei Semenov","2002-05-10",0,1,1,0,2,0,0,0,0,1,0,0,1,182.88,187.652663057245,185,24,0,1,0,0
95,"Andrew Craig","2015-07-15",2,0,2,3,16,0,0,1,1,1,0,0,3,185.42,193.04,170,29,0,1,0,0
96,"Andrew Holbrook","2017-09-02",1,0,1,2,8,0,0,2,0,0,0,0,2,180.34,177.8,155,31,0,0,1,0
97,"Andrew Sanchez","2019-05-04",0,1,2,2,15,1,0,0,3,0,0,0,3,185.42,187.96,185,31,0,1,0,0
98,"Andy Enz","2015-01-31",2,0,0,2,6,0,0,0,0,0,0,0,0,190.5,198.12,185,23,0,1,0,0
99,"Andy Ogle","2015-01-24",3,0,1,4,15,0,0,0,1,0,0,0,1,172.72,175.26,145,25,0,1,0,0
100,"Andy Wang","2007-06-23",0,0,0,0,0,0,0,0,0,0,0,0,0,167.64,171.473267296171,155,30,0,1,0,0
101,"Angela Hill","2019-06-08",0,1,1,6,26,0,0,0,4,0,0,0,4,160.02,162.56,115,34,0,1,0,0
102,"Anistavio Medeiros","2012-06-23",0,0,0,0,0,0,0,0,0,0,0,0,0,167.64,171.473267296171,145,24,0,1,0,0
103,"Anna Elmose","2016-11-19",1,0,0,1,1,0,0,0,0,0,0,0,0,160.02,165.1,115,32,0,1,0,0
104,"Ansar Chalangov","2006-04-06",1,0,0,1,1,0,0,0,0,0,0,0,0,175.26,179.562965176708,170,26,0,1,0,0
105,"Anthony Birchak","2015-11-07",0,1,1,1,2,0,0,0,0,1,0,0,1,172.72,175.26,135,29,0,1,0,0
106,"Anthony Christodoulou","2015-08-08",1,0,0,1,2,0,0,0,0,0,0,0,0,175.26,182.88,155,28,0,1,0,0
107,"Anthony Hamilton","2017-11-18",3,0,1,6,14,0,0,0,1,2,0,0,3,195.58,193.04,260,37,0,1,0,0
108,"Anthony Hernandez","2019-02-02",0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,190.5,185,25,0,1,0,0
109,"Anthony Johnson","2017-04-08",0,3,3,5,31,1,0,0,2,11,0,0,13,187.96,198.12,205,33,0,1,0,0
110,"Anthony Lapsley","2014-05-10",1,0,0,1,3,0,0,0,0,0,0,0,0,175.26,180.34,170,34,0,0,1,0
111,"Anthony Njokuani","2014-10-04",1,0,1,4,20,0,0,0,2,1,0,0,3,185.42,190.5,155,34,0,1,0,0
112,"Anthony Perosh","2015-11-14",1,0,3,6,17,0,0,0,0,2,3,0,5,190.5,190.5,205,43,0,1,0,0
113,"Anthony Pettis","2019-03-23",1,0,5,7,38,4,0,1,1,2,4,0,8,177.8,182.88,170,32,0,1,0,0
114,"Anthony Rocco Martin","2019-03-09",0,3,3,4,29,0,0,0,3,1,3,0,7,182.88,185.42,170,29,0,1,0,0
115,"Anthony Smith","2019-06-01",1,0,3,4,27,1,0,0,1,5,1,0,7,193.04,193.04,205,30,0,1,0,0
116,"Anthony Torres","2006-08-17",0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,176.866399216529,170,28,0,1,0,0
117,"Anton Kuivanen","2013-02-23",0,1,1,1,6,0,0,1,0,0,0,0,1,172.72,182.88,155,28,0,1,0,0
118,"Anton Zafir","2016-07-08",1,0,0,1,1,0,0,0,0,0,0,0,0,180.34,182.88,170,29,0,1,0,0
119,"Antoni Hardonk","2009-10-24",1,0,3,3,12,0,0,0,0,4,0,0,4,193.04,198.12,245,33,0,1,0,0
120,"Antonina Shevchenko","2018-11-30",0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,170.18,125,34,0,0,1,0
121,"Antonio Banuelos","2011-02-05",0,0,0,0,0,0,0,0,0,0,0,0,0,165.1,160.02,135,31,0,1,0,0
122,"Antonio Braga Neto","2017-12-09",1,0,1,1,4,0,0,0,0,0,1,0,1,190.5,195.58,185,30,0,1,0,0
123,"Antonio Carlos Junior","2019-05-18",0,4,4,3,21,1,0,0,2,0,4,0,6,187.96,200.66,185,29,0,1,0,0
124,"Antonio Carvalho","2013-03-16",0,2,2,1,7,0,0,1,0,1,0,0,2,175.26,172.72,145,33,0,1,0,0
125,"Antonio Dos Santos","2015-06-20",1,0,0,1,2,0,0,0,0,0,0,0,0,177.8,182.88,185,26,0,1,0,0
126,"Antonio McKee","2011-01-01",0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,176.866399216529,155,40,0,0,1,0
127,"Antonio Mendes","2009-01-17",1,0,0,1,1,0,0,0,0,0,0,0,0,190.5,195.58,205,27,0,0,1,0
128,"Antonio Silva","2016-09-24",2,0,2,7,17,1,0,0,0,3,0,0,3,193.04,203.2,264,37,0,1,0,0
129,"Ariane Lipski","2019-01-19",0,0,0,0,0,0,0,0,0,0,0,0,0,160.02,170.18,125,24,0,1,0,0
130,"Arjan Bhullar","2019-05-04",0,1,1,1,8,0,0,0,2,0,0,0,2,185.42,190.5,245,32,0,1,0,0
131,"Arman Tsarukyan","2019-04-20",0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,182.88,155,22,0,1,0,0
132,"Arnold Allen","2019-03-16",0,4,4,0,12,0,0,1,1,0,2,0,4,172.72,177.8,145,25,0,0,1,0
133,"Art Jimmerson","1993-11-12",0,0,0,0,0,0,0,0,0,0,0,0,0,185.42,190.349229017425,196,30,0,1,0,0
134,"Artem Lobov","2018-10-27",2,0,2,4,20,1,0,0,2,0,0,0,2,175.26,165.1,145,32,0,0,1,0
135,"Ashkan Mokhtarian","2017-11-18",1,0,0,1,3,0,0,0,0,0,0,0,0,167.64,170.18,125,32,0,0,1,0
136,"Ashlee Evans-Smith","2019-02-17",0,1,2,3,14,0,0,1,1,1,0,0,3,172.72,170.18,125,31,0,1,0,0
137,"Ashley Yoder","2018-11-10",3,0,0,3,9,0,0,0,0,0,0,0,0,170.18,175.26,115,31,0,0,1,0
138,"Aspen Ladd","2018-10-06",0,1,1,0,2,0,0,0,0,1,0,0,1,167.64,167.64,135,23,0,1,0,0
139,"Assuerio Silva","2007-04-21",2,0,0,2,4,0,0,0,0,0,0,0,0,177.8,182.259531136887,241,32,0,1,0,0
140,"Augusto Mendes","2017-04-15",0,1,1,1,4,0,0,1,0,0,0,0,1,167.64,165.1,135,34,0,1,0,0
141,"Augusto Montano","2016-09-17",1,0,1,1,4,0,0,0,0,1,0,0,1,185.42,185.42,170,31,0,1,0,0
142,"Augusto Sakai","2019-04-27",0,1,1,0,3,0,0,0,0,1,0,0,1,190.5,195.58,265,27,0,1,0,0
143,"Austin Arnett","2019-02-09",0,1,1,2,8,0,0,0,1,0,0,0,1,182.88,182.88,145,27,0,1,0,0
144,"Austin Hubbard","2019-05-18",0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,180.34,155,27,0,1,0,0
