"Winner","B_current_lose_streak","B_current_win_streak","B_longest_win_streak","B_losses","B_total_rounds_fought","B_total_title_bouts","B_win_by_Decision_Majority","B_win_by_Decision_Split","B_win_by_Decision_Unanimous","B_win_by_KO_TKO","B_win_by_Submission","B_win_by_TKO_Doctor_Stoppage","B_wins","B_Height_cms","B_Reach_cms","B_Weight_lbs","B_age","B_Stance_Open_Stance","B_Stance_Orthodox","B_Stance_Southpaw","B_Stance_Switch","R_current_lose_streak","R_current_win_streak","R_longest_win_streak","R_losses","R_total_rounds_fought","R_total_title_bouts","R_win_by_Decision_Majority","R_win_by_Decision_Split","R_win_by_Decision_Unanimous","R_win_by_KO_TKO","R_win_by_Submission","R_win_by_TKO_Doctor_Stoppage","R_wins","R_Height_cms","R_Reach_cms","R_Weight_lbs","R_age","R_Stance_Open_Stance","R_Stance_Orthodox","R_Stance_Southpaw","R_Stance_Switch"
"Blue",0,0,0,0,0,0,0,0,0,0,0,0,0,187.96,198.12,205,25,0,1,0,0,2,0,0,2,4,0,0,0,0,0,0,0,0,180.34,185.42,205,37,0,1,0,0
"Red",1,0,1,2,8,0,0,2,0,0,0,0,2,180.34,177.8,155,31,0,0,1,0,3,0,0,3,5,0,0,0,0,0,0,0,0,177.8,182.88,155,30,0,1,0,0
"Red",0,3,3,0,6,0,0,1,0,0,2,0,3,170.18,177.8,125,23,0,1,0,0,0,3,3,2,23,0,0,0,6,0,0,0,6,167.64,175.26,135,23,0,1,0,0
"Blue",1,0,1,1,6,0,0,0,1,0,0,0,1,165.1,167.64,115,23,0,1,0,0,0,1,1,3,16,0,0,1,2,0,0,0,3,162.56,160.02,115,31,0,1,0,0
"Blue",1,0,1,1,3,0,0,0,0,0,1,0,1,182.88,193.04,170,27,0,1,0,0,1,0,3,3,18,0,0,0,3,3,0,0,6,182.88,185.42,170,35,0,0,1,0
"Blue",0,0,0,0,0,0,0,0,0,0,0,0,0,180.34,184.956097097066,145,22,0,0,1,0,0,1,1,0,2,1,0,0,0,1,0,0,1,172.72,180.34,145,23,0,0,1,0
"Red",3,0,5,7,58,4,1,4,3,6,0,0,14,182.88,190.5,205,37,0,1,0,0,1,0,4,4,22,0,0,0,2,4,1,0,7,187.96,190.5,205,31,0,0,1,0
"Red",1,0,0,1,3,0,0,0,0,0,0,0,0,175.26,177.8,135,28,0,1,0,0,1,0,2,2,10,1,0,0,1,2,0,0,3,167.64,170.18,135,27,0,1,0,0
"Red",0,2,2,1,5,0,0,0,1,1,0,0,2,157.48,162.56,125,31,0,1,0,0,1,0,2,5,29,0,0,3,0,2,0,0,5,165.1,165.1,125,28,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,167.64,167.64,125,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.64,175.26,125,22,0,0,0,1
"Red",0,7,7,6,65,1,0,1,8,1,9,0,19,185.42,182.88,170,39,0,0,1,0,0,1,3,3,25,3,1,1,0,5,0,0,7,175.26,187.96,170,35,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,177.8,135,36,0,1,0,0,0,2,2,0,3,0,0,0,0,2,0,0,2,172.72,172.72,145,32,0,1,0,0
"Red",1,0,8,5,50,1,0,0,6,8,5,0,19,185.42,185.42,155,34,0,1,0,0,1,0,5,5,49,5,0,3,3,6,0,0,12,180.34,187.96,170,35,0,0,1,0
"Blue",0,2,2,0,4,0,0,1,0,1,0,0,2,187.96,190.5,205,27,0,1,0,0,0,2,3,2,15,0,0,0,1,3,0,2,6,185.42,200.66,205,37,0,1,0,0
"Red",0,4,4,1,14,0,0,1,1,1,1,0,4,177.8,180.34,145,25,0,1,0,0,0,1,4,3,26,1,0,0,3,2,3,0,8,172.72,180.34,145,35,0,1,0,0
"Red",0,1,7,3,37,6,0,0,4,2,3,0,9,167.64,177.8,135,30,0,1,0,0,0,1,4,2,20,0,0,0,2,1,2,0,5,170.18,180.34,135,27,0,1,0,0
"Red",0,3,3,0,8,0,0,2,0,0,1,0,3,180.34,182.88,145,28,0,1,0,0,0,3,3,1,10,0,0,0,0,2,1,0,3,172.72,175.26,145,26,0,0,0,1
"Blue",0,0,0,0,0,0,0,0,0,0,0,0,0,180.34,182.88,145,29,0,1,0,0,0,1,1,3,15,0,0,0,2,2,0,0,4,180.34,187.96,145,27,0,1,0,0
"Blue",0,1,1,0,2,0,0,0,0,0,1,0,1,157.48,160.02,115,27,0,1,0,0,2,0,1,4,12,0,0,0,0,0,1,0,1,162.56,165.1,115,26,0,1,0,0
"Blue",0,0,0,0,0,0,0,0,0,0,0,0,0,160.02,157.48,125,24,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,167.64,172.72,125,26,0,1,0,0
"Blue",1,0,2,5,16,0,0,0,1,1,1,0,3,172.72,177.8,155,28,0,0,1,0,3,0,2,11,43,0,0,1,3,1,1,0,6,177.8,182.88,170,37,0,1,0,0
"Red",1,0,5,3,28,1,0,2,2,2,2,0,8,175.26,180.34,185,25,0,0,1,0,3,0,9,3,29,5,0,0,3,4,2,0,9,187.96,198.12,185,33,0,1,0,0
"Blue",0,4,5,4,40,0,0,1,8,3,0,0,12,177.8,180.34,145,33,0,1,0,0,1,0,7,4,30,1,0,2,4,1,2,0,9,167.64,167.64,155,30,0,1,0,0
"Red",1,0,2,5,25,0,0,1,0,4,0,0,5,190.5,193.04,205,31,0,1,0,0,0,1,3,4,19,0,0,0,3,2,0,0,5,187.96,193.04,205,36,0,1,0,0
"Red",0,1,4,1,10,0,0,0,1,4,0,0,5,170.18,177.8,135,25,0,0,1,0,0,4,4,0,10,0,0,1,2,1,0,0,4,162.56,172.72,135,28,0,1,0,0
"Blue",0,2,2,1,9,0,0,0,1,1,0,0,2,180.34,185.42,170,30,0,1,0,0,0,1,1,0,2,0,0,0,0,1,0,0,1,182.88,187.96,170,32,0,1,0,0
"Blue",0,0,0,0,0,0,0,0,0,0,0,0,0,185.42,190.5,185,30,0,0,1,0,2,0,4,7,43,0,0,2,5,1,1,0,9,182.88,193.04,185,34,0,1,0,0
"Blue",0,1,3,3,20,0,0,0,2,2,2,0,6,180.34,193.04,170,29,0,1,0,0,0,2,4,1,23,0,0,0,6,0,0,0,6,185.42,187.96,170,33,0,0,1,0
"Blue",0,1,1,2,7,0,0,0,0,1,0,0,1,193.04,198.12,250,27,0,1,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,185.42,190.5,241,37,0,1,0,0
"Blue",0,2,2,0,6,0,0,0,2,0,0,0,2,180.34,180.34,145,24,0,1,0,0,0,1,1,1,6,0,0,1,0,0,0,0,1,170.18,177.8,145,30,0,1,0,0
"Blue",0,2,2,2,14,0,0,0,1,1,1,0,3,172.72,177.8,135,24,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,167.64,167.64,135,30,0,0,0,1
"Blue",0,0,0,0,0,0,0,0,0,0,0,0,0,190.5,187.96,264,26,0,1,0,0,0,1,1,2,13,0,0,1,1,1,0,0,3,190.5,195.58,265,32,0,0,1,0
"Red",0,1,3,4,15,1,0,1,0,1,3,0,5,170.18,185.42,145,30,0,1,0,0,0,2,2,0,6,0,0,0,1,1,0,0,2,180.34,190.5,145,26,0,1,0,0
"Blue",2,0,4,2,14,0,0,0,2,0,2,0,4,177.8,177.8,155,29,0,1,0,0,1,0,1,2,7,0,0,0,0,1,0,0,1,180.34,185.42,155,28,0,1,0,0
"Blue",0,4,4,2,17,0,0,0,3,3,0,0,6,182.88,185.42,170,30,0,1,0,0,0,2,4,2,20,0,0,0,1,0,6,0,7,180.34,182.88,170,28,0,0,0,1
"Blue",0,2,2,0,4,0,0,0,0,0,2,0,2,162.56,162.56,115,30,0,1,0,0,1,0,2,2,11,0,0,0,2,1,0,0,3,167.64,165.1,125,31,0,1,0,0
"Blue",0,1,2,3,21,0,0,1,1,2,1,0,5,180.34,177.8,155,33,0,1,0,0,0,2,3,1,15,0,1,1,1,2,0,0,5,177.8,177.8,155,27,0,0,1,0
"Red",1,0,1,1,4,0,0,0,1,0,0,0,1,190.5,193.04,185,35,0,1,0,0,1,0,1,1,4,0,0,0,0,1,0,0,1,182.88,185.42,185,27,0,1,0,0
"Red",1,0,1,1,3,0,0,0,0,0,1,0,1,190.5,193.04,205,29,0,1,0,0,0,1,1,2,5,1,0,0,0,1,0,0,1,185.42,193.04,205,27,0,0,1,0
"Blue",0,0,0,0,0,0,0,0,0,0,0,0,0,185.42,198.12,264,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,185.42,243,29,0,1,0,0
"Red",1,0,0,1,2,0,0,0,0,0,0,0,0,182.88,187.96,170,27,0,1,0,0,1,0,2,1,7,0,0,0,1,0,1,0,2,185.42,187.96,170,30,0,0,1,0
"Red",1,0,2,3,17,0,0,0,2,0,1,0,3,162.56,162.56,125,37,0,1,0,0,0,1,1,0,3,0,0,1,0,0,0,0,1,165.1,170.18,125,27,0,1,0,0
"Blue",0,0,0,0,0,0,0,0,0,0,0,0,0,180.34,182.88,170,35,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,180.34,185.42,170,36,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,165.1,175.26,145,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,185.42,145,28,0,1,0,0
"Red",0,1,1,2,8,0,0,1,0,0,0,0,1,175.26,182.88,135,26,0,1,0,0,0,1,1,0,3,0,0,0,1,0,0,0,1,170.18,180.34,135,25,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,162.56,165.1,135,30,0,0,1,0,0,1,1,3,13,0,0,0,2,1,0,0,3,175.26,167.64,135,34,0,1,0,0
"Blue",0,7,7,2,25,1,0,0,4,5,0,0,9,182.88,185.42,185,26,0,1,0,0,0,8,8,0,22,0,0,1,1,6,0,0,8,182.88,185.42,185,40,0,0,1,0
"Blue",0,1,4,4,21,1,0,0,2,5,0,0,7,193.04,203.2,265,37,0,1,0,0,0,1,6,3,27,3,0,0,3,4,2,0,9,193.04,195.58,231,39,0,1,0,0
"Blue",1,0,1,2,6,0,0,0,0,1,0,0,1,193.04,203.2,265,26,0,1,0,0,2,0,3,4,21,0,2,0,0,2,0,0,4,182.88,187.96,247,34,0,0,1,0
"Red",1,0,7,9,62,0,0,2,6,3,6,0,17,172.72,180.34,155,33,0,0,1,0,1,0,5,5,28,4,0,1,0,2,3,0,6,177.8,182.88,170,30,0,1,0,0
"Red",0,2,2,1,9,0,0,0,1,1,0,0,2,170.18,172.72,135,32,0,1,0,0,0,1,2,1,7,0,0,0,0,3,0,0,3,172.72,180.34,135,30,0,1,0,0
"Blue",0,1,2,1,6,0,0,0,0,1,2,0,3,187.96,203.2,240,40,0,1,0,0,3,0,3,7,29,0,0,0,1,7,1,0,9,198.12,200.66,255,34,0,1,0,0
"Red",1,0,0,1,2,0,0,0,0,0,0,0,0,187.96,198.12,170,26,0,1,0,0,0,1,3,2,14,1,0,1,2,1,0,0,4,177.8,180.34,170,30,0,1,0,0
"Red",0,2,2,0,2,0,0,0,0,0,2,0,2,185.42,195.58,185,29,0,0,1,0,0,1,4,4,15,0,0,0,1,5,0,0,6,187.96,193.04,205,33,0,1,0,0
"Blue",0,1,1,2,10,0,0,0,1,1,0,0,2,180.34,182.88,170,28,0,1,0,0,2,0,2,3,12,0,0,1,0,2,0,0,3,182.88,185.42,170,27,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,180.34,135,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.64,162.56,135,27,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,193.04,205.74,205,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,187.96,185,24,0,1,0,0
"Blue",0,0,0,0,0,0,0,0,0,0,0,0,0,180.34,177.8,155,28,0,1,0,0,1,0,4,7,40,1,0,0,5,4,0,0,9,177.8,185.42,145,31,0,0,1,0
"Blue",1,0,0,1,1,0,0,0,0,0,0,0,0,182.88,185.42,170,34,0,1,0,0,2,0,1,3,6,1,0,0,1,0,0,0,1,187.96,187.96,170,28,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,187.96,190.5,205,30,0,1,0,0,1,0,2,2,8,0,0,0,1,1,0,0,2,180.34,195.58,185,33,0,0,0,1
"Red",0,2,3,1,16,1,0,0,3,2,0,0,5,185.42,190.5,185,29,0,1,0,0,0,1,5,4,34,0,0,2,6,1,0,0,9,185.42,187.96,185,29,0,1,0,0
"Red",0,1,1,0,1,0,0,0,0,1,0,0,1,185.42,187.96,205,31,0,1,0,0,0,1,1,0,3,0,0,0,1,0,0,0,1,187.96,200.66,205,28,0,1,0,0
"Red",1,0,0,1,3,0,0,0,0,0,0,0,0,170.18,175.26,115,29,0,0,1,0,3,0,1,3,10,0,0,0,1,0,0,0,1,160.02,162.56,115,32,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,185.42,170,30,0,0,1,0,0,2,2,3,15,0,0,0,1,1,2,0,4,187.96,185.42,170,31,0,1,0,0
"Blue",3,0,3,8,33,1,0,1,4,2,2,0,9,187.96,193.04,185,33,0,1,0,0,1,0,3,9,41,1,0,1,2,3,4,0,10,185.42,195.58,205,36,0,1,0,0
"Red",0,1,2,2,15,0,0,0,3,0,0,0,3,165.1,165.1,115,35,0,1,0,0,0,1,3,1,15,0,0,0,4,0,0,0,4,154.94,152.4,115,27,0,1,0,0
"Red",1,0,2,2,9,0,0,0,0,2,0,0,2,170.18,175.26,135,25,0,0,1,0,1,0,8,8,51,2,0,3,6,1,0,0,10,175.26,177.8,155,38,0,1,0,0
"Blue",0,4,4,2,22,0,0,1,3,1,3,0,8,175.26,195.58,170,24,0,1,0,0,0,3,3,2,19,1,0,0,2,0,5,0,7,185.42,190.5,170,29,0,0,1,0
"Red",0,1,6,6,52,3,1,2,5,5,0,0,13,175.26,175.26,185,33,0,0,1,0,1,0,4,10,45,0,0,2,3,6,0,0,11,182.88,187.96,185,36,0,1,0,0
"Red",0,2,2,0,6,0,0,0,2,0,0,0,2,165.1,162.56,125,29,0,1,0,0,0,2,2,1,9,0,0,0,1,0,2,0,3,162.56,165.1,115,32,0,1,0,0
"Red",0,1,2,2,14,0,0,1,1,2,0,0,4,175.26,182.88,170,29,0,1,0,0,2,0,4,6,31,0,0,1,2,4,1,0,8,187.96,190.5,170,33,0,1,0,0
"Blue",2,0,4,9,47,0,0,0,6,3,2,0,11,167.64,177.8,145,38,0,1,0,0,5,0,3,12,70,11,0,0,1,6,4,1,12,175.26,177.8,155,38,0,1,0,0
"Red",0,1,2,3,13,0,0,0,1,2,1,0,4,177.8,180.34,155,28,0,0,1,0,2,0,4,11,62,0,0,3,4,1,4,0,12,170.18,177.8,155,35,0,1,0,0
"Blue",1,0,1,1,4,0,0,0,0,0,1,0,1,182.88,187.96,185,23,0,0,1,0,1,0,3,2,11,1,0,0,0,3,0,0,3,185.42,195.58,185,38,0,1,0,0
"Blue",1,0,0,1,2,0,0,0,0,0,0,0,0,177.8,177.8,155,29,0,0,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,182.88,185.42,155,29,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,185.42,155,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,172.72,155,28,0,1,0,0
"Red",1,0,4,1,14,0,0,0,2,1,1,0,4,177.8,182.88,155,27,0,1,0,0,0,2,2,3,14,0,0,0,1,0,2,0,3,182.88,185.42,170,27,0,1,0,0
"Red",1,0,3,3,18,1,0,2,1,1,0,0,4,165.1,162.56,135,33,0,1,0,0,3,0,3,3,23,3,0,1,1,1,0,0,3,172.72,175.26,145,35,0,0,1,0
"Blue",0,2,2,1,8,0,0,0,0,2,0,0,2,190.5,198.12,249,31,0,1,0,0,4,0,7,8,41,5,0,1,2,9,2,0,14,190.5,195.58,240,38,0,1,0,0
"Blue",0,3,3,1,17,0,0,0,2,2,2,0,6,180.34,182.88,170,29,0,1,0,0,0,3,4,4,42,0,0,2,6,4,1,0,13,187.96,193.04,170,35,0,0,1,0
"Blue",2,0,5,7,55,3,0,0,8,4,2,0,14,172.72,177.8,170,32,0,0,1,0,2,0,1,3,17,0,0,0,2,0,0,0,2,177.8,177.8,170,30,0,0,0,1
"Blue",2,0,1,4,19,0,0,0,1,1,1,0,3,180.34,185.42,155,32,0,1,0,0,3,0,2,7,21,0,0,1,1,2,0,0,4,170.18,177.8,155,38,0,0,1,0
"Blue",0,1,1,4,12,0,0,0,0,2,0,0,2,195.58,195.58,250,34,0,0,1,0,0,1,1,1,2,0,0,0,0,1,0,0,1,182.88,187.96,247,31,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,175.26,145,26,0,1,0,0,2,0,2,9,43,0,0,2,3,0,2,0,7,177.8,185.42,145,28,0,0,1,0
"Blue",1,0,1,3,10,0,0,0,0,0,2,0,2,177.8,180.34,125,27,0,0,1,0,1,0,2,3,17,0,0,0,3,1,0,0,4,170.18,167.64,125,25,0,0,1,0
"Blue",4,0,2,4,13,0,0,1,0,0,1,0,2,170.18,177.8,135,30,0,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,165.1,177.8,135,27,0,0,0,1
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,165.1,180.34,125,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,180.34,125,20,0,1,0,0
"Blue",1,0,0,1,3,0,0,0,0,0,0,0,0,172.72,170.18,125,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,182.88,125,27,0,1,0,0
"Blue",2,0,4,7,35,1,0,0,1,6,0,0,7,177.8,182.88,265,43,0,1,0,0,0,6,6,2,21,0,0,1,0,8,0,0,9,190.5,200.66,260,32,0,1,0,0
"Red",0,4,4,1,17,0,0,1,3,1,1,0,6,182.88,177.8,185,39,0,0,1,0,2,0,5,3,18,0,0,0,2,4,1,0,7,185.42,195.58,185,33,0,0,1,0
"Red",3,0,3,11,57,1,0,2,4,4,0,1,11,172.72,175.26,155,32,0,1,0,0,1,0,1,3,13,0,0,0,0,2,1,0,3,182.88,190.5,155,27,0,0,0,1
"Red",2,0,2,2,9,0,0,0,0,1,1,0,2,190.5,193.04,205,27,0,1,0,0,1,0,1,2,9,0,0,0,1,0,0,0,1,185.42,190.5,205,23,0,0,1,0
"Blue",0,1,2,1,7,0,0,0,1,1,1,0,3,165.1,165.1,125,28,0,0,0,1,0,1,2,5,24,1,0,0,3,0,0,0,3,170.18,167.64,135,30,0,0,1,0
"Red",0,1,1,3,12,0,0,0,1,0,0,0,1,170.18,170.18,155,36,0,1,0,0,0,1,1,0,2,0,0,0,0,1,0,0,1,167.64,180.34,145,28,0,1,0,0
"Blue",0,2,2,1,7,0,0,0,2,0,0,0,2,177.8,182.88,155,34,0,1,0,0,0,2,2,1,7,0,0,1,0,1,0,0,2,177.8,172.72,155,32,0,1,0,0
"Red",2,0,1,3,10,0,0,0,0,1,0,0,1,177.8,187.96,170,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.34,182.88,170,29,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,167.64,170.18,125,31,0,0,1,0,3,0,2,5,28,1,0,1,0,1,3,0,5,167.64,167.64,125,33,0,1,0,0
"Blue",1,0,1,1,6,0,0,1,0,0,0,0,1,180.34,182.88,170,30,0,1,0,0,1,0,3,1,8,0,0,1,0,0,1,0,3,177.8,180.34,170,36,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,165.1,170.18,115,19,0,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,165.1,170.18,125,24,0,0,1,0
"Blue",0,10,10,3,40,1,0,1,4,6,2,0,13,180.34,175.26,155,25,0,1,0,0,0,1,7,1,36,9,0,0,6,2,0,0,8,170.18,177.8,145,30,0,1,0,0
"Red",1,0,3,1,14,1,0,1,2,0,0,0,3,160.02,162.56,115,31,0,1,0,0,0,1,1,2,17,1,0,0,3,0,0,0,3,162.56,160.02,115,28,0,1,0,0
"Red",1,0,4,10,48,1,0,0,4,6,3,0,13,182.88,187.96,185,38,0,1,0,0,3,0,3,10,35,6,0,0,0,11,2,1,14,182.88,187.96,185,40,0,0,1,0
"Blue",0,1,2,5,15,0,0,1,0,0,3,0,4,177.8,190.5,155,29,0,1,0,0,0,1,2,6,23,0,0,0,0,2,5,0,7,182.88,187.96,170,32,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,167.64,170.18,135,29,0,1,0,0,0,1,7,2,26,0,0,2,4,1,1,0,8,165.1,167.64,135,34,0,1,0,0
"Blue",0,1,1,1,6,0,0,0,1,0,0,0,1,170.18,175.26,135,30,0,0,1,0,0,1,2,2,11,0,0,0,1,2,0,0,3,170.18,180.34,135,38,0,1,0,0
"Blue",0,0,0,0,0,0,0,0,0,0,0,0,0,167.64,167.64,135,30,0,0,0,1,0,2,3,5,33,0,0,1,4,2,2,0,9,175.26,180.34,135,36,0,0,1,0
"Red",0,1,1,0,3,0,0,0,1,0,0,0,1,154.94,165.1,115,28,0,1,0,0,0,1,1,0,3,0,0,1,0,0,0,0,1,154.94,160.02,115,23,0,1,0,0
"Red",1,0,0,1,3,0,0,0,0,0,0,0,0,177.8,185.42,170,33,0,1,0,0,2,0,0,2,6,0,0,0,0,0,0,0,0,182.88,190.5,170,23,0,1,0,0
"Red",0,1,5,3,26,1,0,0,2,3,3,1,9,187.96,193.04,205,37,0,1,0,0,0,1,6,4,30,2,0,0,3,4,2,0,9,195.58,200.66,205,30,0,1,0,0
"Red",0,4,4,0,7,0,0,0,0,1,3,0,4,190.5,195.58,205,30,0,1,0,0,0,1,1,0,3,0,0,1,0,0,0,0,1,187.96,190.5,205,27,0,1,0,0
"Red",0,1,3,4,25,0,0,1,2,2,3,0,8,187.96,195.58,170,34,0,1,0,0,0,1,2,4,17,0,0,0,2,0,1,0,3,182.88,190.5,170,30,0,0,1,0
"Blue",0,1,2,3,15,0,0,0,2,2,0,0,4,182.88,185.42,185,29,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,177.8,185.42,170,31,0,1,0,0
"Blue",1,0,3,2,16,0,0,1,2,1,0,0,4,185.42,187.96,170,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,195.58,170,25,0,0,0,1
"Red",1,0,1,2,6,0,0,0,0,1,0,0,1,193.04,205.74,185,27,0,1,0,0,1,0,1,1,5,0,0,0,1,0,0,0,1,185.42,195.58,185,28,0,1,0,0
"Red",0,2,2,1,7,0,0,0,0,0,2,0,2,165.1,177.8,135,27,0,1,0,0,0,2,2,3,11,0,0,0,0,1,2,0,3,167.64,165.1,135,30,0,1,0,0
"Red",2,0,4,9,46,0,0,2,4,1,1,1,9,187.96,193.04,185,30,0,1,0,0,1,0,2,4,20,0,0,1,3,0,0,0,4,190.5,190.5,185,36,0,1,0,0
"Blue",2,0,1,2,9,0,0,0,1,0,0,0,1,182.88,193.04,170,28,0,0,1,0,1,0,2,2,13,0,0,0,2,0,1,0,3,182.88,190.5,170,31,0,1,0,0
"Red",0,1,1,0,3,0,0,1,0,0,0,0,1,182.88,185.42,155,24,0,1,0,0,1,0,1,1,5,0,0,0,0,1,0,0,1,182.88,187.96,170,24,0,0,1,0
"Blue",1,0,0,1,1,0,0,0,0,0,0,0,0,175.26,177.8,155,30,0,1,0,0,2,0,0,2,6,0,0,0,0,0,0,0,0,175.26,180.34,155,25,0,1,0,0
"Red",0,1,9,3,41,4,0,0,4,8,0,0,12,193.04,195.58,238,33,0,1,0,0,0,4,4,2,28,2,0,0,3,7,0,0,10,193.04,203.2,240,34,0,1,0,0
"Red",0,3,3,3,21,0,0,1,3,1,2,0,7,154.94,157.48,115,25,0,1,0,0,0,7,7,0,26,5,0,1,4,2,0,0,7,167.64,165.1,125,29,0,1,0,0
"Red",0,3,3,4,35,0,0,0,5,3,1,0,9,180.34,187.96,170,32,0,1,0,0,0,6,6,6,62,1,0,0,8,1,9,0,18,185.42,182.88,170,39,0,0,1,0
"Blue",1,0,2,2,11,0,0,0,2,0,0,0,2,185.42,198.12,185,35,0,1,0,0,0,5,5,1,18,0,0,1,4,1,0,0,6,185.42,195.58,185,27,0,0,1,0
"Blue",0,3,3,1,11,0,0,1,1,0,1,0,3,177.8,180.34,145,24,0,1,0,0,0,2,4,2,17,0,0,0,1,1,4,0,6,180.34,182.88,145,32,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,180.34,193.04,205,35,0,1,0,0,2,0,0,2,5,0,0,0,0,0,0,0,0,193.04,198.12,250,27,0,1,0,0
"Blue",1,0,2,3,11,0,0,0,0,1,1,0,2,170.18,170.18,115,30,0,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,160.02,160.02,115,35,0,1,0,0
"Blue",0,1,1,0,1,0,0,0,0,0,1,0,1,180.34,177.8,205,30,0,1,0,0,0,1,1,1,5,0,0,0,0,1,0,0,1,190.5,193.04,205,38,0,1,0,0
"Red",0,2,2,2,12,1,0,0,2,0,0,0,2,175.26,165.1,145,30,0,0,1,0,0,3,6,3,35,0,0,0,5,4,0,0,9,172.72,177.8,145,33,0,1,0,0
"Red",0,1,6,9,68,2,0,3,8,5,0,0,16,177.8,182.88,170,35,0,0,1,0,0,4,4,2,22,1,0,1,3,3,0,0,7,177.8,177.8,155,29,0,1,0,0
"Red",0,1,2,2,6,0,0,0,0,3,1,0,4,185.42,190.5,253,31,0,1,0,0,3,0,4,5,30,1,1,0,1,4,1,0,7,190.5,203.2,205,34,0,0,1,0
"Red",0,2,2,5,23,1,0,1,0,4,0,0,5,170.18,175.26,135,32,0,1,0,0,1,0,3,3,28,3,0,0,2,4,0,1,7,160.02,167.64,135,32,0,1,0,0
"Blue",0,1,3,1,12,0,0,1,1,2,0,0,4,177.8,177.8,155,27,0,0,1,0,0,1,3,9,46,0,0,1,1,4,7,1,14,177.8,180.34,155,32,0,1,0,0
"Blue",1,0,2,1,7,0,0,0,0,2,0,0,2,177.8,180.34,170,25,0,1,0,0,1,0,6,8,37,0,0,1,2,5,1,1,10,175.26,180.34,170,32,0,1,0,0
"Red",0,4,4,3,19,0,0,0,2,4,1,0,7,187.96,190.5,205,30,0,0,1,0,1,0,5,6,45,1,0,1,3,2,5,0,11,185.42,198.12,185,35,0,1,0,0
"Blue",0,2,2,0,4,0,0,1,0,0,1,0,2,170.18,177.8,125,23,0,1,0,0,0,1,2,4,27,0,0,3,0,2,0,0,5,165.1,165.1,125,28,0,1,0,0
"Red",1,0,0,1,2,0,0,0,0,0,0,0,0,185.42,190.5,155,31,0,1,0,0,1,0,1,2,12,0,0,0,1,0,1,0,2,175.26,175.26,155,33,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,172.72,135,32,0,1,0,0,1,0,3,2,14,1,0,1,2,0,1,0,4,167.64,172.72,125,32,0,1,0,0
"Red",1,0,2,3,14,0,0,0,1,2,1,0,4,177.8,182.88,155,31,0,1,0,0,1,0,2,2,14,0,0,0,1,1,1,0,3,182.88,182.88,170,27,0,0,1,0
"Red",1,0,0,1,1,0,0,0,0,0,0,0,0,172.72,177.8,135,27,0,1,0,0,0,1,1,1,4,0,0,0,1,0,0,0,1,157.48,162.56,125,30,0,1,0,0
"Red",0,3,3,2,20,0,0,0,4,0,2,0,6,162.56,165.1,125,32,0,0,1,0,0,11,11,2,56,11,0,1,7,2,3,0,13,160.02,167.64,125,30,0,1,0,0
