"Winner","B_current_lose_streak","B_current_win_streak","B_longest_win_streak","B_losses","B_total_rounds_fought","B_total_title_bouts","B_win_by_Decision_Majority","B_win_by_Decision_Split","B_win_by_Decision_Unanimous","B_win_by_KO_TKO","B_win_by_Submission","B_win_by_TKO_Doctor_Stoppage","B_wins","B_Height_cms","B_Reach_cms","B_Weight_lbs","B_age","B_Stance_Open_Stance","B_Stance_Orthodox","B_Stance_Southpaw","B_Stance_Switch","R_current_lose_streak","R_current_win_streak","R_longest_win_streak","R_losses","R_total_rounds_fought","R_total_title_bouts","R_win_by_Decision_Majority","R_win_by_Decision_Split","R_win_by_Decision_Unanimous","R_win_by_KO_TKO","R_win_by_Submission","R_win_by_TKO_Doctor_Stoppage","R_wins","R_Height_cms","R_Reach_cms","R_Weight_lbs","R_age","R_Stance_Open_Stance","R_Stance_Orthodox","R_Stance_Southpaw","R_Stance_Switch"
"Blue",1,0,3,4,27,1,0,0,1,5,1,0,7,193.04,193.04,205,30,0,1,0,0,1,0,6,5,38,3,0,0,3,5,2,0,10,195.58,200.66,205,32,0,1,0,0
"Blue",0,3,3,0,7,0,0,0,2,1,0,0,3,193.04,198.12,205,27,0,1,0,0,3,0,3,5,21,0,0,0,1,3,0,2,6,185.42,200.66,205,39,0,1,0,0
"Red",0,1,1,1,3,0,0,0,0,0,1,0,1,172.72,172.72,145,26,0,1,0,0,0,1,3,1,11,0,0,1,1,1,1,0,4,177.8,182.88,145,30,0,0,1,0
"Blue",0,1,1,3,10,0,0,0,1,0,1,0,2,177.8,180.34,155,29,0,1,0,0,0,2,2,2,12,0,0,1,0,2,0,0,3,175.26,177.8,155,32,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,182.88,145,26,0,1,0,0,3,0,0,3,8,0,0,0,0,0,0,0,0,165.1,175.26,145,31,0,1,0,0
"Blue",0,0,0,0,0,0,0,0,0,0,0,0,0,185.42,187.96,170,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,182.88,170,27,0,0,0,1
"Blue",1,0,1,3,13,0,0,0,2,0,0,0,2,170.18,165.1,135,37,0,1,0,0,2,0,0,2,4,1,0,0,0,0,0,0,0,170.18,177.8,135,37,0,1,0,0
"Blue",0,4,4,1,14,1,0,1,1,1,2,0,5,182.88,190.5,155,39,0,1,0,0,0,1,3,3,22,0,1,1,2,2,0,0,6,177.8,177.8,155,29,0,0,1,0
"Blue",2,0,1,2,8,0,0,1,0,0,0,0,1,177.8,185.42,170,30,0,1,0,0,2,0,3,3,19,0,0,0,4,0,0,0,4,167.64,167.64,155,35,0,0,1,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,185.42,145,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,187.96,135,27,0,1,0,0
