"Winner","B_current_win_streak","R_Reach_cms","R_losses","B_current_lose_streak","R_Stance_Southpaw","B_Stance_Southpaw","R_Stance_Switch","R_win_by_Submission","B_win_by_Decision_Split","B_Stance_Switch","R_Stance_Open_Stance"
"Red",1,190.5,1,0,1,0,0,1,1,0,0
"Red",3,165.1,0,0,0,1,1,0,0,0,0
"Red",1,182.259531136887,0,0,1,0,0,0,0,0,0
"Red",2,177.8,4,0,0,0,1,3,2,0,0
"Blue",0,172.72,3,1,0,0,0,1,0,0,0
"Red",0,160.02,6,1,0,0,0,0,0,0,0
"Blue",0,180.34,0,1,0,0,1,0,0,0,0
"Blue",0,172.72,3,0,0,0,0,0,0,0,0
"Blue",0,187.96,2,2,1,0,0,0,0,0,0
"Red",1,187.96,2,0,1,0,0,1,0,1,0
"Blue",3,190.5,2,0,0,1,0,0,0,0,0
"Blue",3,187.96,2,0,1,1,0,1,1,0,0
"Red",0,185.42,3,2,0,1,0,0,0,0,0
"Red",1,177.8,0,0,1,0,0,2,0,0,0
"Red",0,185.42,2,1,0,0,0,0,0,0,0
"Blue",0,198.12,0,2,0,0,0,0,0,0,0
"Blue",2,185.42,0,0,0,0,0,1,0,0,0
"Red",0,157.48,1,1,0,0,0,0,0,0,0
"Red",2,182.88,0,0,0,0,0,0,0,0,0
"Blue",2,200.66,4,0,0,0,0,0,0,0,0
"Red",3,185.42,1,0,0,0,0,0,0,0,0
"Blue",0,190.5,8,1,0,0,0,1,0,0,0
"Red",0,185.42,1,1,1,0,0,0,0,0,0
"Red",3,182.88,5,0,1,1,0,3,0,0,0
"Blue",0,187.96,11,1,0,0,0,0,1,0,0
"Red",2,185.42,4,0,0,0,0,3,2,0,0
"Blue",1,172.72,4,0,0,0,0,2,0,0,0
"Red",0,182.88,0,2,0,1,1,0,1,0,0
"Blue",2,172.72,5,0,0,0,0,2,1,0,0
"Red",1,182.88,3,0,0,0,0,1,3,0,0
"Red",0,180.34,5,1,1,1,0,0,0,0,0
"Red",3,213.36,2,0,0,0,0,5,0,0,0
"Blue",9,187.96,3,0,0,0,0,1,0,1,0
"Blue",0,187.96,6,0,1,0,0,0,0,0,0
